iter	MAPE	MAE
253	0.1587691137	178354.828
254	0.1587268403	178288.0789
255	0.1586957204	178264.0896
256	0.1586371535	178211.8308
257	0.158567855	178122.664
258	0.1585304715	178088.2581
259	0.1584609853	178033.078
260	0.1583565502	177900.8234
261	0.1582821738	177776.1988
262	0.1582101727	177687.6664
263	0.1581177795	177570.0278
264	0.1579884416	177462.4188
265	0.1578944569	177366.8747
266	0.1578710142	177349.0585
267	0.157811371	177290.859
268	0.1577148142	177137.7963
269	0.1576120917	177038.7691
270	0.1575134769	176939.0983
271	0.1574097223	176783.9624
272	0.1573525043	176667.4924
273	0.1572505074	176547.9398
274	0.1571300023	176454.0252
275	0.157015122	176365.4142
276	0.1569625301	176323.6666
277	0.1569166665	176287.6542
278	0.1568633985	176240.0981
279	0.1567560518	176179.0999
280	0.1567163741	176157.7804
281	0.156651388	176109.6257
282	0.1565826634	176066.1937
283	0.1565275916	176005.7345
284	0.1564824235	175920.0758
285	0.1564091401	175864.496
286	0.1563332157	175750.7809
287	0.1562737715	175683.2459
288	0.156208723	175614.6068
289	0.1561376537	175569.6686
290	0.1561036663	175526.4794
291	0.1560624907	175470.0201
292	0.1560096652	175432.7807
293	0.1559581252	175387.3435
294	0.1559266057	175334.2814
295	0.1558690076	175288.8647
296	0.155809636	175219.7268
297	0.1557562106	175181.0603
298	0.1557172069	175149.3265
299	0.1556428911	175069.5466
300	0.1555843066	175000.8114
301	0.155544432	174970.4505
302	0.1554607143	174863.7458
303	0.155411283	174795.4459
304	0.1553753633	174773.1935
305	0.1553530351	174744.1099
306	0.1552929904	174680.9932
307	0.155230373	174641.5498
308	0.1551490654	174557.4188
309	0.1551029276	174480.2843
310	0.155031373	174368.3142
311	0.1549859325	174330.9856
312	0.1549388645	174302.6461
313	0.1548387477	174224.7046
314	0.1547847125	174187.6132
315	0.1546025604	174031.2041
316	0.1545581466	173982.7711
317	0.1545178024	173953.7592
318	0.1544754767	173929.1037
319	0.1544286691	173885.6517
320	0.1543804931	173852.7057
321	0.15431958	173777.4894
322	0.1542730934	173748.5749
323	0.1542428711	173705.3231
324	0.1542225689	173670.9819
325	0.1542010122	173625.2814
326	0.1541583398	173580.4161
327	0.1540612858	173476.1053
328	0.1539588784	173371.3781
329	0.1539188395	173299.0092
330	0.1538655585	173248.2815
331	0.153793991	173188.4322
332	0.1537451294	173146.5
333	0.1536978327	173081.827
334	0.1536470679	173053.2224
335	0.1535974699	173004.93
336	0.1535287458	172933.1136
337	0.1535117685	172911.5925
338	0.1534731781	172863.7152
339	0.1534644999	172838.008
340	0.1534252306	172802.7454
341	0.1533882509	172762.3916
342	0.1533462551	172736.7488
343	0.1533162883	172683.7189
344	0.1532663507	172595.049
345	0.1532146384	172564.2918
346	0.1531051658	172370.9884
347	0.1530313901	172257.6083
348	0.1529666261	172180.95
349	0.1529227197	172117.5998
350	0.1528837384	172093.5425
351	0.1527891994	171984.5451
352	0.1527401172	171956.1649
353	0.1526917407	171917.6565
354	0.1526076644	171846.646
355	0.1525499711	171808.6522
356	0.1525005561	171754.6748
357	0.1524405297	171623.3709
358	0.1524057716	171576.717
359	0.1523855651	171556.0149
360	0.152352538	171534.9521
361	0.1523071277	171492.9677
362	0.1522780189	171456.6657
363	0.1522425974	171437.8297
364	0.1521759187	171351.0541
365	0.1520903843	171240.4523
366	0.1520543174	171204.5052
367	0.151976995	171100.9053
368	0.1519552424	171081.0005
369	0.151941771	171072.562
370	0.1518837839	170999.3901
371	0.151839752	170933.2546
372	0.1518046026	170889.6872
373	0.1517668452	170841.4666
374	0.1517185455	170783.847
375	0.1516784796	170751.7432
376	0.1516680708	170742.9052
377	0.1516158403	170681.9297
378	0.1515844333	170653.901
379	0.1515378289	170587.7249
380	0.1514858579	170505.4965
381	0.1514086202	170439.9065
382	0.1513647597	170403.2632
383	0.1513319047	170370.0235
384	0.151302967	170302.4716
385	0.1512596275	170236.9727
386	0.1512416526	170227.5891
387	0.1512306889	170205.1136
388	0.1511972255	170164.9097
389	0.1511740361	170134.3502
390	0.1511448337	170098.531
391	0.151111	170039.6367
392	0.1510764244	169998.7512
393	0.1510033397	169889.2551
394	0.150952506	169852.7906
395	0.1508978385	169785.0584
396	0.1508837468	169773.1316
397	0.1508388707	169719.03
398	0.1508000824	169686.1923
399	0.1507505337	169635.7246
400	0.1506954953	169566.0539
401	0.1506652265	169506.3223
402	0.1506156464	169467.1107
403	0.1505228258	169359.2787
404	0.1504668365	169274.5014
405	0.1504327324	169217.5822
406	0.1504068845	169196.1586
407	0.1503802483	169141.611
408	0.1503674322	169125.5292
409	0.1503414223	169095.1981
410	0.1503186243	169070.1367
411	0.1502816443	168995.0584
412	0.1502467992	168926.342
413	0.1502076505	168890.8741
414	0.1501856089	168877.212
415	0.1501548206	168855.6263
416	0.1500975612	168809.3693
417	0.1500699623	168784.9842
418	0.1500611192	168771.1084
419	0.1500174672	168740.6135
420	0.1499874606	168703.8551
421	0.1499593234	168679.7133
422	0.1499533034	168659.4366
423	0.1499215393	168595.8563
424	0.1498843682	168575.502
425	0.1498476165	168516.1324
426	0.1497948985	168449.4418
427	0.1497787669	168427.9676
428	0.1497415968	168374.335
429	0.1497055951	168304.339
430	0.1496932273	168284.7561
431	0.1496417677	168223.253
432	0.1495666841	168152.2661
433	0.1495171593	168098.1934
434	0.1494447904	168058.401
435	0.1493945305	168011.019
436	0.1493869545	168000.3927
437	0.1493396402	167976.7277
438	0.1493199837	167954.4241
439	0.1492983378	167919.4388
440	0.1492728602	167900.5688
441	0.1492272537	167861.4987
442	0.1491744113	167811.1769
443	0.1491616544	167800.2632
444	0.1490659496	167673.0829
445	0.1490362007	167649.2245
446	0.1490117072	167631.1879
447	0.1489668883	167578.8064
448	0.1489265717	167523.932
449	0.1489057917	167509.8146
450	0.1488753512	167469.238
451	0.1488471338	167447.6691
452	0.1488096741	167412.8711
453	0.1487994985	167403.3738
454	0.1487677137	167354.9564
455	0.1486984468	167290.7234
456	0.1486718843	167274.5475
457	0.148656258	167259.8069
458	0.1486181369	167208.5511
459	0.1485897952	167188.7862
460	0.1485482907	167136.5253
461	0.1485149138	167101.3477
462	0.1484808628	167033.2827
463	0.1484596398	167014.6957
464	0.1484407878	167000.3288
465	0.148399207	166961.0682
466	0.1483795719	166947.561
467	0.1482569028	166842.7896
468	0.1482112211	166804.9783
469	0.1481684389	166767.4113
470	0.1481382963	166728.6635
471	0.1481245599	166713.5944
472	0.1480982542	166658.6583
473	0.1480413304	166583.5528
474	0.1480180811	166527.4985
475	0.1479718775	166484.3176
476	0.1479429789	166468.0043
477	0.1479156482	166447.728
478	0.1478755609	166389.0361
479	0.1478334436	166361.9082
480	0.1478212839	166346.1823
481	0.1478088162	166321.809
482	0.1477868776	166297.2317
483	0.1477667976	166281.7607
484	0.1477130748	166233.2165
485	0.1476967462	166215.4433
486	0.1476699676	166194.9322
487	0.1476595566	166175.6587
488	0.1476362911	166152.2861
489	0.1476088849	166120.315
490	0.1475766223	166092.4564
491	0.1475483338	166062.1376
492	0.1475304182	166035.8146
493	0.1475145973	166020.9283
494	0.1475025732	166000.7601
495	0.1474837872	165977.0338
496	0.1474656576	165955.4699
497	0.1474133635	165896.4473
498	0.1474022414	165862.431
499	0.1473664342	165841.8959
500	0.1472532344	165731.6307
501	0.1472108312	165686.7968
502	0.1471574778	165642.4804
503	0.1471422986	165618.7995
504	0.1471368693	165612.7577
505	0.1470975733	165574.4556
506	0.1470393049	165487.5391
507	0.1470289805	165474.582
508	0.1470141836	165461.0613
509	0.1469792207	165433.9026
510	0.1469342141	165408.1151
511	0.1469172548	165398.4703
512	0.1468925734	165374.2559
513	0.1468652474	165352.7307
514	0.1468446001	165333.2221
515	0.1467945297	165284.747
516	0.1467740877	165269.7411
517	0.1467250635	165223.6999
518	0.1467172403	165219.0889
519	0.1466942296	165193.8346
520	0.1466674756	165138.028
521	0.1466499323	165116.1673
522	0.1466406583	165107.3717
523	0.1466074352	165069.2717
524	0.1465984347	165057.3408
525	0.1465839333	165041.521
526	0.1465721844	165028.6377
527	0.1465593101	165005.6232
528	0.1464971762	164944.329
529	0.1464674875	164917.0811
530	0.1464451533	164900.85
531	0.1464240866	164877.398
532	0.1464127291	164868.6254
533	0.1463974968	164842.4581
534	0.1463812226	164829.8998
535	0.1463524631	164800.4484
536	0.14632703	164775.5114
537	0.1462947376	164754.3347
538	0.146233229	164697.9696
539	0.1462160188	164660.5855
540	0.1461837809	164613.8066
541	0.1461593336	164597.4043
542	0.1461295267	164576.6961
543	0.1460721184	164503.6571
544	0.1460457203	164477.8578
545	0.1460304779	164460.6115
546	0.1460224844	164456.7057
547	0.1459796492	164417.8529
548	0.1459630334	164401.4337
549	0.1459248552	164359.3226
550	0.1458946553	164317.4395
551	0.1458640999	164283.1102
552	0.145853822	164271.0932
553	0.1458434412	164262.7911
554	0.1458330412	164253.5462
555	0.1458030189	164220.4834
556	0.1457784251	164189.1812
557	0.1457525134	164169.509
558	0.1457196335	164146.134
559	0.1457021367	164129.0692
560	0.1456740803	164089.6018
561	0.1456520454	164063.7298
562	0.1456327031	164053.8331
563	0.1456040625	164010.9253
564	0.145578077	163982.1555
565	0.1455601492	163969.6165
566	0.1455349441	163947.6984
567	0.145517722	163927.9274
568	0.1454887056	163903.4559
569	0.1454668813	163886.3253
570	0.1454169288	163812.3335
571	0.1454101683	163801.4554
572	0.1454034694	163794.5409
573	0.1453881687	163777.9521
574	0.1453796549	163768.4463
575	0.1453710053	163760.4311
576	0.145359098	163754.0655
577	0.1453402894	163742.8094
578	0.1453246096	163733.3687
579	0.1452953021	163697.9833
580	0.1452709536	163648.4891
581	0.14524708	163631.8521
582	0.1452273556	163620.097
583	0.1451884762	163585.477
584	0.1451529011	163537.2334
585	0.1451151554	163512.326
586	0.1450675059	163457.2379
587	0.1450074242	163389.5885
588	0.1449841839	163373.1728
589	0.1449536599	163338.0907
590	0.1449352012	163320.3415
591	0.1449257991	163308.1012
592	0.1448974292	163285.197
593	0.1448722518	163265.0773
594	0.1448438847	163244.5423
595	0.1448185245	163218.219
596	0.1448049462	163208.301
597	0.1447647004	163168.6725
598	0.1447452167	163145.4442
599	0.1447342875	163137.788
600	0.1446879902	163089.5425
601	0.1446576724	163028.3402
602	0.1446406864	163013.2221
603	0.1446149845	162983.0453
604	0.1445915239	162959.7766
605	0.1445855194	162950.5377
606	0.1445660236	162936.775
607	0.1445261036	162901.717
608	0.1445107149	162878.8492
609	0.144460323	162839.5806
610	0.1444473579	162824.8327
611	0.1444291828	162802.5638
612	0.1444171761	162788.6454
613	0.1444004284	162768.7304
614	0.1443567146	162730.2138
615	0.1443355305	162701.9053
616	0.1443004796	162673.8074
617	0.1442619363	162623.3081
618	0.1442321821	162583.7275
619	0.1442020215	162558.6227
620	0.1441239487	162486.1686
621	0.144097342	162457.4195
622	0.1440671811	162429.8688
623	0.1440328845	162382.2567
624	0.1440043613	162342.8276
625	0.1439698635	162301.0402
626	0.1439486717	162286.7598
627	0.1439115119	162240.5153
628	0.1438935619	162222.8798
629	0.1438884723	162220.3522
630	0.1438702668	162202.861
631	0.1438578676	162186.2959
632	0.1438302004	162167.1909
633	0.1438146802	162129.0673
634	0.1437861296	162105.4906
635	0.1437776694	162097.2477
636	0.1437479294	162078.6764
637	0.1437167339	162058.9166
638	0.1436934266	162031.3417
639	0.1436660077	162010.0694
640	0.1436030028	161931.8471
641	0.1435769019	161916.5421
642	0.1435491296	161887.1157
643	0.1435266889	161866.8148
644	0.1434760075	161840.7097
645	0.1434273427	161808.9751
646	0.1434046697	161785.6881
647	0.14338852	161775.8117
648	0.1433767243	161754.8152
649	0.1433502238	161736.3347
650	0.1433394588	161727.5856
651	0.1433064011	161700.2957
652	0.1432891795	161684.5671
653	0.143273556	161675.4929
654	0.1432613706	161663.5157
655	0.1432412238	161649.0402
656	0.1431884825	161605.3121
657	0.1431788123	161599.6203
658	0.1431640888	161578.7614
659	0.1431224264	161552.5838
660	0.1431125015	161548.1669
661	0.1431050315	161539.642
662	0.1431018355	161537.9598
663	0.14309171	161525.6978
664	0.1430561089	161486.345
665	0.1430540367	161485.4619
666	0.1430463125	161480.9233
667	0.1430442048	161471.7667
668	0.1430267683	161450.8691
669	0.1430144837	161440.4502
670	0.143004359	161428.0037
671	0.1429976997	161418.9528
672	0.1429818578	161408.5083
673	0.142972642	161399.7317
674	0.1429500498	161382.6228
675	0.1429345305	161358.2003
676	0.1428629519	161264.7392
677	0.1428439235	161247.4826
678	0.1428117325	161224.6631
679	0.1427736106	161171.808
680	0.1427665411	161167.42
681	0.1427352273	161140.704
682	0.1427199611	161127.2058
683	0.1426958116	161107.134
684	0.1426733411	161085.9473
685	0.1426333297	161041.492
686	0.1426150512	160997.5254
687	0.1425820152	160974.8969
688	0.1425711888	160969.7402
689	0.142539434	160944.183
690	0.1425109962	160925.9269
691	0.142492329	160900.4324
692	0.142469927	160867.8745
693	0.1424492202	160845.2228
694	0.1424355733	160834.0968
695	0.14240906	160811.4191
696	0.1423957088	160796.112
697	0.1423879174	160787.9398
698	0.1423188637	160663.7088
699	0.1422903377	160623.4913
700	0.1422600868	160587.0801
701	0.1422479293	160571.6485
702	0.1422430519	160566.0349
703	0.1422261919	160544.1806
704	0.1422159808	160526.66
705	0.1422101726	160522.0565
706	0.1421865341	160486.9441
707	0.1421649873	160467.2335
708	0.1421338185	160408.3658
709	0.1420963008	160369.8651
710	0.142082382	160361.8018
711	0.1420673539	160351.4537
712	0.1420465516	160338.3254
713	0.1420255122	160318.855
714	0.1419938336	160285.3702
715	0.1419643929	160238.0975
716	0.1419483425	160225.8628
717	0.1419362585	160216.8189
718	0.1419215636	160199.4463
719	0.1418979312	160181.1903
720	0.1418806333	160169.668
721	0.1418677975	160147.3456
722	0.1418500867	160132.7229
723	0.1418254736	160102.4824
724	0.1418064726	160084.8135
725	0.14179274	160058.4114
726	0.1417723792	160044.3505
727	0.1417556827	160025.9941
728	0.1417303837	159991.1771
729	0.1417193473	159980.4646
730	0.1416898132	159954.6822
731	0.1416564745	159926.1004
732	0.141630376	159898.6372
733	0.1416258425	159896.3779
734	0.1415977374	159874.1449
735	0.1415738214	159854.4308
736	0.1415354406	159828.6406
737	0.1415192596	159800.5341
738	0.141503756	159775.9271
739	0.1414813331	159761.1559
740	0.1414441915	159700.1291
741	0.1414186	159676.0129
742	0.1413959163	159647.8608
743	0.1413622542	159628.5669
744	0.1413059052	159583.1337
745	0.1413037423	159578.672
746	0.1412365678	159522.8367
747	0.1412196575	159505.7221
748	0.1412126577	159500.6039
749	0.1411837631	159445.8558
750	0.1411493797	159410.5148
751	0.1411211225	159373.742
752	0.141100143	159345.2256
753	0.1410686745	159320.6835
754	0.1410530552	159310.3443
755	0.1410399666	159294.4859
756	0.1410354896	159292.0826
757	0.1409778122	159213.0737
