iter	Logloss	F1
0	0.5559045976	0.002670226969
1	0.5065477889	0.003560302626
2	0.4849980312	0.002672605791
3	0.4749839464	0.01151971644
4	0.4673839358	0.0323567993
5	0.461521976	0.05176876618
6	0.4583239503	0.0617231033
7	0.4548891405	0.06255355613
8	0.4520350735	0.07555178268
9	0.4486805449	0.09243697479
10	0.4466938096	0.1112956811
11	0.4432970856	0.1222635275
12	0.440238369	0.1376485047
13	0.4384020427	0.146400976
14	0.4349900779	0.177830941
15	0.4329604032	0.1877227723
16	0.4297273577	0.1938534279
17	0.4278946295	0.1972495088
18	0.4262303186	0.2078125
19	0.4245150607	0.2180830423
20	0.4213561923	0.2289899769
21	0.4197214112	0.2381316998
22	0.4183101664	0.2414056532
23	0.4169580478	0.2499050513
24	0.4156446285	0.248003043
25	0.4126358911	0.2541603631
26	0.4111848268	0.2640090259
27	0.408479071	0.277736411
28	0.4055223548	0.2876155268
29	0.4030609999	0.2954796031
30	0.4006429709	0.3031409788
31	0.3973284116	0.3209520375
32	0.3945393867	0.3267504488
33	0.3943985537	0.328068916
34	0.3943096725	0.3285509326
35	0.3927699903	0.3311827957
36	0.3899349433	0.345
37	0.3897916972	0.3461812991
38	0.3882334345	0.3525230988
39	0.386631263	0.3596460177
40	0.3860390125	0.3634438956
41	0.3836476847	0.3709167545
42	0.3811374557	0.3811518325
43	0.378916076	0.3872088982
44	0.376930939	0.3955739972
45	0.3746452809	0.3957108267
46	0.3732894733	0.3976567884
47	0.3715043752	0.4063143445
48	0.3700107097	0.4143589744
49	0.3699489053	0.4146174863
50	0.3688650784	0.4178595774
51	0.3672443161	0.4170068027
52	0.3644837779	0.4249406981
53	0.3644271007	0.4276048714
54	0.3622186441	0.4357504216
55	0.361517786	0.4354566903
56	0.3596068184	0.440188172
57	0.3582668366	0.4445189407
58	0.3555584745	0.4544544545
59	0.3537690272	0.4541513838
60	0.3524442486	0.4575989358
61	0.3500902333	0.4685337727
62	0.3488170663	0.470006592
63	0.3466697408	0.4740302433
64	0.346544435	0.4758779127
65	0.3453810885	0.4751889583
66	0.3436072839	0.4836601307
67	0.3421065324	0.4907256752
68	0.3407318603	0.5022595223
69	0.3395377603	0.5049855259
70	0.3368686522	0.5105837075
71	0.3347037851	0.5183764781
72	0.332355164	0.5173076923
73	0.3306992236	0.5204603581
74	0.3286593834	0.524872449
75	0.3274113703	0.5312599175
76	0.3260181365	0.5409162717
77	0.3243291832	0.5430463576
78	0.3228755732	0.5477987421
79	0.3215062247	0.5480829667
80	0.3206560589	0.555068836
81	0.3198236599	0.5576742732
82	0.3191774265	0.5560762262
83	0.3184478096	0.5595757954
84	0.3167101529	0.5638793907
85	0.3157558529	0.5653118213
86	0.3131707737	0.5706319703
87	0.3120191046	0.5764596849
88	0.3105789511	0.5809435708
89	0.3090199561	0.5802279027
90	0.3069643109	0.5857099049
91	0.3055271394	0.5929770992
92	0.3042662331	0.5938358255
93	0.3028526405	0.6002430134
94	0.3009028036	0.6030881017
95	0.299679978	0.6050878256
96	0.2996511472	0.6071968552
97	0.2987140551	0.607748184
98	0.2970209422	0.6183022276
99	0.2961283144	0.6189473684
100	0.2955172519	0.6182585116
101	0.2943310853	0.6193198917
102	0.2926988602	0.6247002398
103	0.291447472	0.6294749403
104	0.2898731997	0.630480167
105	0.2897867836	0.6308884914
106	0.2885537094	0.6325498364
107	0.2869994043	0.6323922734
108	0.2853367827	0.6394557823
109	0.2834170403	0.6426461902
110	0.2816444692	0.6468160377
111	0.2801691918	0.6519694297
112	0.2781655708	0.6590709904
113	0.2771022778	0.6629737609
114	0.2759349073	0.6631701632
115	0.2759116752	0.6631701632
116	0.2742055	0.6686029625
117	0.2728266435	0.6697647401
118	0.2718610769	0.6732272069
119	0.2718418201	0.6732272069
120	0.2710811818	0.6759098787
121	0.2701325943	0.678396308
122	0.2684816444	0.6805074971
123	0.2669523801	0.6832226393
124	0.2661985186	0.683982684
125	0.265645448	0.6869965478
126	0.2645857389	0.6933638444
127	0.2638039581	0.6948813269
128	0.2619902208	0.6982857143
129	0.2606723116	0.7019340159
130	0.2594117916	0.7032093155
131	0.258741661	0.7049133769
132	0.257558639	0.7067498582
133	0.2561735118	0.7093121993
134	0.2550081193	0.7118644068
135	0.2542134476	0.7140439932
