iter	F1	Logloss
0	0.6100672323	0.6695257286
1	0.6285127202	0.6553730008
2	0.6228075415	0.6460704336
3	0.6328610725	0.639301352
4	0.6479865606	0.631802565
5	0.6578525598	0.6262043495
6	0.656639729	0.6230735952
7	0.6602626766	0.6202062733
8	0.6669641849	0.615114245
9	0.6687213738	0.6110695156
10	0.6713305064	0.6067596907
11	0.6709103265	0.6040174881
12	0.6743602815	0.6022776812
13	0.6775935727	0.598867917
14	0.6780057605	0.5956573902
15	0.6815367184	0.5937388019
16	0.6847059396	0.5918349042
17	0.6861453199	0.5902744331
18	0.6886412559	0.5886186674
19	0.6917825617	0.5853448326
20	0.6908221582	0.5832883192
21	0.6946658752	0.5819851826
22	0.6925956033	0.5806584856
23	0.6951263959	0.578978827
24	0.6966557617	0.5768299571
25	0.6972269706	0.5763925662
26	0.6970677628	0.5755302575
27	0.7011398588	0.572627013
28	0.7022227274	0.5704104002
29	0.7031231365	0.5699353127
30	0.703563385	0.5683002801
31	0.7039835123	0.566836157
32	0.7063878617	0.565877445
33	0.7065482546	0.5653182609
34	0.7077427182	0.5639145078
35	0.7096250046	0.5621934383
36	0.7108447627	0.5603788482
37	0.7127658726	0.5579625545
38	0.7134863934	0.5563314024
39	0.7174538535	0.5537999125
40	0.7185567123	0.5526614765
41	0.7211264589	0.550593876
42	0.7214928827	0.5502854849
43	0.7246325523	0.5476593101
44	0.7253649444	0.5472297357
45	0.7267053599	0.5465604001
46	0.7278948938	0.5453825491
47	0.7283433622	0.5444088138
48	0.7298541863	0.5433473786
49	0.7312341647	0.5419240565
50	0.7324132742	0.5415595641
51	0.7327036949	0.5406653242
52	0.7333928333	0.5403729542
53	0.7330774316	0.538476374
54	0.7350291474	0.5364174769
55	0.7373639381	0.5340388798
56	0.7392682526	0.5328931263
57	0.7421635232	0.530456044
58	0.741617243	0.5299034569
59	0.74149131	0.5287961761
60	0.7431996587	0.5263461218
61	0.7434247948	0.5246824841
62	0.7466408554	0.5222403572
63	0.7476285177	0.5218571828
