iter	Logloss	F1:use_weights=true	F1:use_weights=false
82	0.354374358	0.881154005	0.7252904379
83	0.3523441815	0.8832427429	0.7283464567
84	0.3494185317	0.8846501388	0.7304316676
85	0.3462359587	0.8867468099	0.7352305476
86	0.3461100165	0.8868447546	0.7354954955
87	0.3443093282	0.887194174	0.737298861
88	0.3415958244	0.8901852963	0.7398593835
89	0.3390285304	0.8904307785	0.7405268856
90	0.3362987818	0.8929312433	0.7430630631
91	0.3334541047	0.8923214241	0.7435387674
92	0.3309188105	0.8965697098	0.7495926127
93	0.3281624473	0.8947248137	0.749272198
94	0.3256248722	0.8970049276	0.7529626253
95	0.3224680208	0.8997611327	0.7571219869
96	0.3201634566	0.899410381	0.7583425009
97	0.317449928	0.9024065335	0.7627616599
98	0.314851497	0.9047334366	0.7666543982
99	0.3125785285	0.9068344717	0.7708217913
100	0.311586013	0.9080110138	0.773274107
101	0.3103563661	0.9073355669	0.7722479186
102	0.3085385112	0.9093249648	0.7756766778
103	0.3065887664	0.9095904981	0.7768902099
104	0.3034931081	0.9111069921	0.7798882682
105	0.3010445716	0.912204939	0.7812325451
106	0.299898255	0.9131660889	0.7826410877
107	0.2974114592	0.9161988686	0.7886954894
108	0.2951888852	0.9166726083	0.7905405405
109	0.2938345844	0.9170097661	0.791064389
110	0.2915430978	0.9186944736	0.793686584
111	0.2897582183	0.9183763035	0.793680647
112	0.2881286826	0.917248879	0.7926944078
113	0.2879163676	0.9172996824	0.7928436911
114	0.2855367693	0.9195779863	0.7967541045
115	0.2837502358	0.919546305	0.7971288251
116	0.2816414855	0.9208439501	0.7990927991
117	0.2801426951	0.9213849384	0.8002270148
118	0.2780705919	0.9230899127	0.8034123223
119	0.2763499594	0.9247653597	0.806997528
120	0.27481895	0.925146078	0.8086160884
121	0.2727964784	0.9270869999	0.8120702827
122	0.2710076104	0.9271383864	0.8122254059
123	0.2703031254	0.9275496831	0.8134685288
124	0.2687987075	0.9287142631	0.8155525761
125	0.2666301245	0.9310174062	0.8191754554
126	0.2654249326	0.9325422216	0.8214080184
127	0.2623800327	0.9355608353	0.8262874712
128	0.2608673639	0.9364621961	0.8275994618
129	0.2592269411	0.9368802781	0.8298611111
130	0.2591903706	0.9368802781	0.8298611111
131	0.2591617378	0.9367765595	0.8295410721
132	0.2580705069	0.9373192637	0.8307276588
133	0.2561909686	0.9393122452	0.8354332235
134	0.2541408499	0.9394331681	0.834332109
135	0.2530163239	0.9411660704	0.8382467029
136	0.251148194	0.942439745	0.841736422
137	0.2497673051	0.9433707439	0.8436647173
138	0.2479237399	0.9436945822	0.8456874633
139	0.2456585648	0.9448459965	0.8468151622
140	0.2446115239	0.9453378637	0.847868596
141	0.242624851	0.9467218026	0.851757314
142	0.2409113769	0.9482520929	0.8551181102
143	0.2399848504	0.9478786739	0.8554525735
144	0.2382454121	0.948175502	0.856916996
145	0.2368430985	0.9496221383	0.8595172141
146	0.2354840081	0.9501134712	0.8621374652
147	0.2336410858	0.9505019129	0.8628775835
148	0.2328916428	0.9509252402	0.8642515924
149	0.2313980495	0.951525673	0.8656835393
150	0.2290108728	0.9536053432	0.8672496025
151	0.2289720246	0.9535523762	0.8670772899
152	0.2278716744	0.9541353369	0.8689765034
153	0.2265616128	0.9529907579	0.8678493123
154	0.225035878	0.9534175245	0.8708191468
155	0.2229023973	0.9530608277	0.8675562637
156	0.2209499016	0.9544574393	0.8716
157	0.2201284823	0.9548295482	0.8728219507
158	0.2195007182	0.9545841127	0.873069982
159	0.2176858327	0.9560482018	0.875250702
160	0.2155168914	0.957533206	0.8785685565
161	0.2143336492	0.9568936271	0.8764540714
162	0.2136788095	0.9573883774	0.8775592132
163	0.2129232403	0.9583780542	0.8797748291
164	0.2120617153	0.9590619748	0.8804500703
165	0.211503688	0.9595849423	0.8805940197
166	0.2091806323	0.9599839148	0.8829808661
167	0.2077324228	0.9609203719	0.885034288
168	0.2053627528	0.9621783366	0.8881698686
169	0.2036958762	0.9641842003	0.8916784774
170	0.2021611838	0.9647985635	0.8926690968
171	0.2008501788	0.9656274383	0.8943847557
172	0.1996949067	0.9652398623	0.8936170213
173	0.1985689315	0.9650435232	0.8945764778
174	0.1973552724	0.9652702623	0.8948009748
175	0.1961805903	0.9649897706	0.894394801
176	0.1953841261	0.9655929085	0.8958926393
177	0.1938760193	0.9651696782	0.8966360856
178	0.1930253682	0.9656121519	0.8975928193
179	0.1927553878	0.9659468554	0.8981840441
180	0.1911352085	0.9660319351	0.8995704643
181	0.1901073245	0.967587336	0.9026838763
182	0.1891478891	0.9677494075	0.9032390324
183	0.1879776776	0.9678363687	0.9046444718
184	0.1862164285	0.9679881689	0.9057225196
185	0.1855234212	0.9684317434	0.9066941298
186	0.1839592506	0.969624693	0.910821436
187	0.1827698849	0.9697778694	0.9119170984
188	0.1813374884	0.9712471491	0.9136467177
189	0.1804002136	0.9714192186	0.9136824674
190	0.179664895	0.97181741	0.9139429044
191	0.1784868068	0.9720173793	0.9157676349
192	0.1777329795	0.973186025	0.9181553801
193	0.1768848318	0.9742375273	0.9207075963
194	0.1756131371	0.9740739438	0.9201331115
195	0.1743321331	0.9745724549	0.9213155704
196	0.1740140878	0.9748452805	0.9222754741
197	0.1733004619	0.9752893985	0.9232693912
198	0.1724350412	0.9754532424	0.9238472773
199	0.1714514431	0.9752821194	0.9238154874
200	0.1707542067	0.9753986216	0.9236545682
201	0.1695498749	0.9755625023	0.9242329368
202	0.1685502985	0.9761638694	0.9263598326
203	0.1672160097	0.9761638694	0.9263598326
204	0.1663461377	0.9768821115	0.9283319363
205	0.1653155973	0.9771141462	0.9280033487
206	0.1638583176	0.9774553097	0.9280635717
207	0.1620812083	0.9781305002	0.9287356322
208	0.1616744431	0.978689599	0.9295715778
209	0.1607026003	0.9798614658	0.9314381271
210	0.1596001944	0.9801354038	0.9324126386
211	0.1588089065	0.9802947938	0.9335569063
212	0.1573027404	0.9816262433	0.9365812684
213	0.1565497628	0.9816262433	0.9365812684
214	0.1556466224	0.9816217837	0.9371452596
215	0.1545372307	0.9824548356	0.938973064
216	0.1545164519	0.9824548356	0.938973064
217	0.1533948121	0.9827219074	0.9411019633
218	0.1517790886	0.9826077562	0.9412758766
219	0.1509515583	0.983217768	0.942893401
220	0.1501823752	0.9835522312	0.9435159721
221	0.1494239416	0.983831476	0.9439390734
222	0.1485285678	0.984217627	0.9453389831
223	0.147519761	0.9845488549	0.9465422147
224	0.1461324022	0.9844904406	0.9469214437
225	0.145300175	0.9846561928	0.9475249628
226	0.1440473865	0.9852148538	0.948374761
227	0.1436750411	0.9857678959	0.9503938684
228	0.1429024246	0.9857678959	0.9503938684
229	0.1416521816	0.9863239409	0.9518329071
230	0.1400643583	0.9863793169	0.9520358133
231	0.1400248748	0.9863793169	0.9520358133
232	0.1392558767	0.9865477636	0.952056254
233	0.1392376504	0.9865477636	0.952056254
234	0.1381202622	0.987325534	0.9543125534
235	0.1374194964	0.9872146749	0.9539052497
236	0.1361377724	0.9878818908	0.9557597777
237	0.1352445388	0.9879373673	0.9559640872
238	0.1344529246	0.9886604711	0.9580299786
239	0.1335368956	0.9891605485	0.9598798541
240	0.13317928	0.9891605485	0.9598798541
241	0.1317344303	0.9889382294	0.959056806
242	0.1307659722	0.9889382294	0.959056806
243	0.1298411173	0.9892161439	0.9600858369
244	0.1290098372	0.9898281059	0.9623574962
245	0.128618487	0.9898837764	0.9625645439
246	0.1282944448	0.9898837764	0.9625645439
247	0.1274074644	0.9902179306	0.9638087031
248	0.1268426344	0.9906642693	0.9648631171
249	0.1257656083	0.9904413734	0.9640318759
250	0.1249117132	0.990943354	0.9652942444
251	0.1245672114	0.9908872655	0.9656957929
252	0.1242202777	0.9907757548	0.9652792754
253	0.1234698865	0.9911103621	0.9665299071
254	0.1224919444	0.9915010229	0.9679930796
255	0.1217443832	0.991780255	0.9690409179
256	0.1211302286	0.991724396	0.9688311688
257	0.1204769319	0.991780255	0.9690409179
258	0.1198834326	0.992003754	0.9698808234
259	0.1188362722	0.9924510542	0.9715650098
260	0.1182644501	0.9926188958	0.9721980886
261	0.1178842354	0.9926188958	0.9721980886
262	0.1177102629	0.9925629423	0.9719869707
263	0.1176269836	0.9925629423	0.9719869707
264	0.1171282149	0.9925629423	0.9719869707
265	0.1162314563	0.9926748556	0.9724092983
266	0.1150931456	0.9933468658	0.9749509911
267	0.114763702	0.993458956	0.9753758989
268	0.1142832808	0.9935150106	0.9755884917
269	0.1131917789	0.9931234124	0.9747276688
270	0.1131162569	0.9932348009	0.9745264533
271	0.1125278245	0.9930673769	0.9745153561
272	0.111499803	0.9932355022	0.9751525719
273	0.1109202338	0.9939075698	0.9770792403
274	0.1099697474	0.9939647034	0.9779234973
275	0.1091678502	0.9939085729	0.9777097902
276	0.1086440249	0.9941881592	0.9781468531
277	0.1076102531	0.9945250757	0.9794310722
278	0.1069780067	0.9945237962	0.9787978142
279	0.106522856	0.9947484331	0.9796543426
280	0.1065177962	0.9947484331	0.9796543426
281	0.1057522966	0.995029372	0.9807271134
282	0.1050829402	0.9949169774	0.9802977233
283	0.1045553817	0.9949731716	0.9805123714
284	0.1036810895	0.9946936196	0.9800744471
285	0.103033716	0.9950855788	0.9809419496
286	0.1021209773	0.9950308788	0.981363736
287	0.101558233	0.9953104696	0.9818022364
288	0.10081602	0.9953683668	0.9826564215
