iter	Logloss	F1
0	0.5971859087	0.002670226969
1	0.544936843	0.002672605791
2	0.514499682	0
3	0.4978863431	0
4	0.4882735967	0.0008916629514
5	0.480776423	0.003560302626
6	0.4753119913	0.004450378282
7	0.470286886	0.005338078292
8	0.4670613465	0.01064301552
9	0.4627045124	0.01503094607
10	0.4608799927	0.01850220264
11	0.4590425345	0.02632733655
12	0.4560175703	0.03748910201
13	0.454624351	0.04083405734
14	0.4524897879	0.05682307361
15	0.4506741611	0.06346483705
16	0.4487405328	0.07492550021
17	0.4470638091	0.08227311281
18	0.4449800773	0.08710359408
19	0.4438755872	0.09278785323
20	0.4417306085	0.102263202
21	0.4402459661	0.1286597938
22	0.4389532856	0.1390593047
23	0.4381568574	0.1441955193
24	0.4365543032	0.1472742067
25	0.4350048898	0.1503453881
26	0.4335523607	0.1626409018
27	0.4322515903	0.1689351481
28	0.4303778264	0.1878233187
29	0.4287889504	0.1938291139
30	0.427400305	0.1966824645
31	0.4262095777	0.2
32	0.4250170472	0.2032169478
33	0.4234858175	0.2130316036
34	0.4220881353	0.2142578886
35	0.4205793686	0.2189440994
36	0.4192635906	0.220411331
37	0.4176826567	0.223255814
38	0.4159166138	0.2318059299
39	0.4135054004	0.2398467433
40	0.4125568866	0.2481918538
41	0.4110240349	0.2576733611
42	0.4099129621	0.259651779
43	0.409108459	0.266214178
44	0.4087158227	0.2684766214
45	0.4073109657	0.2733758919
46	0.4054566424	0.2812383439
47	0.4041704085	0.2843355605
48	0.4024149282	0.2924842651
49	0.40237049	0.2937476878
50	0.401377106	0.2958317964
51	0.4000099312	0.2953119232
52	0.3984461367	0.2997054492
53	0.3961408101	0.3137111517
54	0.3953296998	0.3192419825
55	0.395232459	0.3196214052
56	0.3936612086	0.3246187364
57	0.3921919578	0.3298296484
58	0.3914123859	0.3286180631
59	0.3896218152	0.333938294
60	0.3881483727	0.3359884142
61	0.3867827098	0.3416216216
62	0.3854620065	0.3477011494
63	0.3837685875	0.3539949839
64	0.3824778001	0.3578571429
65	0.3810693145	0.3618843683
66	0.3797251782	0.3649946638
67	0.3782073466	0.3673758865
68	0.3764221244	0.373361672
69	0.3754535937	0.3783592645
70	0.3736394978	0.3876187126
71	0.3727307867	0.3914265636
72	0.3705823022	0.3980412732
73	0.36932456	0.40027894
74	0.3683929889	0.4030630003
75	0.3668916054	0.4080499653
76	0.3658072835	0.4109304739
77	0.3657156286	0.4114799447
78	0.3648987463	0.4131260794
79	0.3643033667	0.4143646409
80	0.3637755892	0.4198210599
81	0.3637099525	0.4198210599
82	0.3625026157	0.4241592313
83	0.3612971136	0.4276428327
84	0.359927612	0.4319344933
85	0.3587777802	0.4327645051
86	0.3570761226	0.4338335607
87	0.3561706029	0.4364998298
88	0.3549428304	0.4381793478
89	0.3542791976	0.44211239
90	0.3537590202	0.4443692932
91	0.353726905	0.4443692932
92	0.3525755682	0.4458684654
93	0.351476855	0.4508748318
94	0.3506213295	0.4555518282
95	0.3497141168	0.4573539288
96	0.3490650249	0.4589064072
97	0.3472560174	0.4667779633
98	0.3463258725	0.4710193205
99	0.344804616	0.4728604729
100	0.3436701749	0.4759056165
101	0.3427271464	0.4792565549
102	0.3421028143	0.4809539583
103	0.3407234561	0.4873062974
104	0.3395802977	0.4942490963
105	0.3386069622	0.4965517241
106	0.3375898293	0.5003278689
107	0.3361875197	0.5032722513
108	0.3353480995	0.5066927849
109	0.3353028598	0.5071801567
110	0.334437937	0.5081539465
111	0.3332212907	0.5133376708
112	0.3325924101	0.5162337662
113	0.3320708783	0.5181582361
114	0.3320475291	0.5181582361
115	0.3316645877	0.5189504373
116	0.3310397212	0.5226390686
117	0.3299346593	0.5255003228
118	0.3284177123	0.5293359123
119	0.327796199	0.5307965173
120	0.3267402384	0.5331616227
121	0.3264830722	0.5329900225
122	0.3252361195	0.5347043702
123	0.3240185904	0.5373517153
124	0.3233561025	0.5398655139
125	0.3227560373	0.5449904276
126	0.3214135926	0.5458598726
127	0.3204297626	0.5478233238
128	0.3196628576	0.5512210593
129	0.3185099856	0.5547122075
130	0.318248194	0.5553447185
131	0.3171913635	0.5572422517
132	0.3162863632	0.5595953209
133	0.3149943147	0.5618686869
134	0.3149743451	0.5618686869
135	0.3137028864	0.5630517024
136	0.3126008314	0.5662042875
137	0.3124734504	0.5672864797
138	0.3110262496	0.5695405916
139	0.3106191298	0.5720565149
140	0.3093498656	0.57626057
141	0.3087307271	0.57626057
142	0.3077727306	0.5807259074
143	0.3065001096	0.5823180256
144	0.3052957575	0.5839825491
145	0.3043782837	0.5858962411
146	0.3031132185	0.5934405941
147	0.3018548429	0.5964153276
148	0.3007630601	0.599012955
149	0.2996695167	0.6029502151
150	0.2989222992	0.605093587
151	0.2978518074	0.6067484663
152	0.2970560031	0.6080294208
153	0.2961676813	0.6095471236
154	0.2948732606	0.6106356968
155	0.2940212767	0.6099724686
156	0.293116974	0.6142595978
157	0.2924111859	0.6193078324
158	0.2915343361	0.6197268589
159	0.2906513973	0.6215888417
160	0.2906159571	0.6220066687
161	0.2904875383	0.6220066687
162	0.289684986	0.6240920097
163	0.2888146334	0.6270009061
164	0.2883135417	0.6288473144
165	0.2874998459	0.6313572073
166	0.2857398525	0.6325609389
167	0.2857187726	0.6325609389
168	0.2848015234	0.6368815592
169	0.28399713	0.6391382406
170	0.2835042051	0.640167364
171	0.2828583291	0.6411711981
172	0.2814079978	0.6451997615
173	0.2808380799	0.6468135795
174	0.279490277	0.6498216409
175	0.2782482806	0.6482307464
176	0.2776343226	0.6522383635
177	0.2765273817	0.6586013573
178	0.2759845542	0.6603829161
179	0.2753153846	0.6623529412
180	0.2747502182	0.6639223758
181	0.2740407447	0.6637246249
182	0.2734826629	0.6654919236
183	0.2731119369	0.6678393433
184	0.2722921063	0.6693997072
185	0.2715561958	0.6697864873
186	0.2708880542	0.6692059771
187	0.2697508756	0.6688159437
188	0.2691868811	0.67095642
189	0.2689656993	0.6711527209
190	0.2681141483	0.675990676
191	0.2674824604	0.6781140861
192	0.2664916083	0.6806161
193	0.2655794306	0.6817785527
194	0.2647783235	0.6873190504
195	0.2640623634	0.6903523975
196	0.2630052699	0.6935716345
197	0.2623862196	0.6973268181
198	0.2615737429	0.6962280449
199	0.2608673313	0.6982758621
200	0.2603885939	0.6990235497
201	0.2598425278	0.7005163511
202	0.2590935575	0.7029192902
203	0.2582501856	0.704
204	0.2577129948	0.704
205	0.2569135848	0.704974271
206	0.2560352005	0.7063854048
207	0.2549897422	0.7075256556
208	0.2543615496	0.7089977221
209	0.2538081693	0.7106310404
210	0.2532768835	0.7118932728
211	0.2525918369	0.7105038429
212	0.2518647512	0.7109085731
213	0.2512096437	0.7118065434
214	0.2505357011	0.7153409091
215	0.2499649609	0.7195018398
216	0.2490156518	0.7204301075
217	0.2480756453	0.7236804968
218	0.247431071	0.7240892403
219	0.2468022781	0.7251693002
220	0.2458229984	0.7285513361
221	0.2452027599	0.7281935847
222	0.2445359803	0.7291139241
223	0.2440664895	0.7305422872
224	0.2433595959	0.7273239437
225	0.242138642	0.7329784253
226	0.2411186214	0.7355163728
227	0.2403635842	0.7364297706
228	0.2398819968	0.7379888268
229	0.2393386862	0.7391061453
230	0.2379876435	0.745414119
231	0.2371850216	0.7477102415
232	0.2363231831	0.7515923567
233	0.2362463199	0.7515923567
234	0.2356215982	0.7531103124
235	0.2348697185	0.7534549475
236	0.2336244511	0.753935377
237	0.2328622143	0.7555187638
238	0.2322396688	0.7564137931
239	0.2317587446	0.7599670058
240	0.2314997825	0.7586017066
241	0.231404502	0.7586017066
242	0.2307775491	0.7600989283
243	0.2303471506	0.7615912209
244	0.2297610041	0.7631578947
245	0.228935866	0.7658643326
246	0.2285051071	0.7659923455
247	0.2276831188	0.7688949523
248	0.2270618286	0.7668761957
249	0.227047755	0.7668761957
250	0.2265515227	0.7687687688
251	0.2258605122	0.7713273371
252	0.2247548853	0.77533279
253	0.2242420662	0.7737027982
254	0.2235896613	0.7762408462
255	0.2228593208	0.7772357724
256	0.2221481264	0.7809626825
257	0.2217993748	0.7799729364
258	0.2206862099	0.7823974082
259	0.2200520219	0.7843454791
260	0.2193332749	0.7855408686
261	0.2184405184	0.7876177658
262	0.2180127393	0.7881561238
263	0.2174007019	0.7909725954
264	0.2165005888	0.7945352264
265	0.2160373408	0.7951807229
266	0.2156553535	0.7957161981
267	0.2154647379	0.7976476878
268	0.2150441506	0.7976476878
269	0.214249821	0.7998932764
270	0.2136301479	0.8008531058
271	0.2132937807	0.8014921396
272	0.2128205858	0.8018114012
273	0.2121499472	0.8030867483
274	0.2119751657	0.8041456285
275	0.2113450489	0.8066825776
276	0.2106952916	0.807845216
277	0.2102060331	0.8068965517
278	0.2097863129	0.8075291622
279	0.2090551542	0.8072129409
280	0.2080947814	0.8085782367
281	0.2072455415	0.8114104596
282	0.2063641527	0.8126649077
283	0.2061834007	0.8126649077
284	0.2056127018	0.8147562582
285	0.204969735	0.8164124145
286	0.2044244407	0.8163157895
287	0.2037582212	0.8184922511
288	0.2034513244	0.818802521
289	0.2024596679	0.8211851075
290	0.2020700163	0.822111606
291	0.2017230952	0.8233446742
292	0.2012087775	0.8245751634
293	0.2002006306	0.8243596445
294	0.199728798	0.8258940224
295	0.1992440376	0.8265066528
296	0.1992326248	0.8262910798
297	0.1984273416	0.8288241415
298	0.1979777923	0.8314723448
299	0.1975194372	0.8332036316
300	0.1965858767	0.8342412451
301	0.1959265698	0.8342412451
302	0.1959064396	0.8342412451
303	0.1951751771	0.8355348355
304	0.1949463062	0.8365235385
305	0.1944487452	0.836908762
306	0.1941161193	0.8383264463
307	0.1937112672	0.8389261745
308	0.1937000723	0.8389261745
309	0.1935601014	0.8392258065
310	0.1932003989	0.8385430121
311	0.1928586625	0.8394424368
312	0.1922686149	0.8408563322
313	0.1918473242	0.8409383862
314	0.1912627215	0.8441358025
315	0.1907258334	0.8418341061
316	0.1900973929	0.8433239002
317	0.1895375997	0.8442159383
318	0.1889702021	0.8459958932
319	0.1882410625	0.8460749102
320	0.1874947226	0.8473967684
321	0.18686111	0.8476923077
322	0.1866290704	0.8476923077
323	0.1858263041	0.8494623656
324	0.1849562077	0.8537892319
325	0.1843713171	0.8526933878
326	0.1839491991	0.8535714286
327	0.1835008336	0.8529862175
328	0.1834948722	0.8535714286
329	0.1831643239	0.8526933878
330	0.1826015506	0.8529862175
331	0.1819907125	0.8550318471
332	0.1814167543	0.8582317073
333	0.181044082	0.8576512456
334	0.1804042565	0.8591012947
335	0.1799414284	0.8602586863
336	0.1794053378	0.8611251901
337	0.1790770054	0.862278481
338	0.1789660078	0.8619903773
339	0.1789221532	0.8619903773
340	0.1785901336	0.862278481
341	0.178467335	0.862278481
342	0.1777414664	0.8637168142
343	0.1771904001	0.8648648649
344	0.1762404421	0.8657921292
345	0.1757392286	0.8657921292
346	0.1753154228	0.8672878368
347	0.1748481126	0.869783811
348	0.1742338941	0.8700678562
349	0.1739807093	0.8712026111
350	0.1734171333	0.8726178536
351	0.1732200256	0.8717691343
352	0.1728897002	0.8714859438
353	0.1721938538	0.8714213963
354	0.1720330216	0.8719879518
355	0.1719060941	0.8717047452
356	0.1711818238	0.8720521826
357	0.1709579809	0.8729004763
358	0.1704249302	0.873747495
359	0.1699917506	0.8751563673
360	0.1695290372	0.8749374687
361	0.1690951434	0.8768423682
362	0.1686033368	0.8766233766
363	0.167944805	0.8804185351
364	0.1679379416	0.8804185351
365	0.1673680912	0.8806973848
366	0.1667716364	0.8809760956
367	0.1662444555	0.8820308611
368	0.1654950699	0.8840327787
369	0.1651766334	0.8850831472
370	0.1647204962	0.8870168484
371	0.1641386588	0.8881188119
372	0.1638349389	0.8889438536
373	0.1630482236	0.8914116486
374	0.1624697641	0.8922318126
375	0.1619564809	0.892504931
376	0.1615371294	0.8941408173
377	0.1609438767	0.8943609948
378	0.1605132381	0.8944129953
379	0.1598591699	0.8954489545
380	0.1595590893	0.8959921318
381	0.159057811	0.8975681651
382	0.1586431295	0.8976687117
383	0.1582508187	0.8976687117
384	0.1581197114	0.8982094677
385	0.1579131196	0.8984796469
386	0.157650671	0.8984796469
387	0.1567943227	0.9003183933
388	0.156310278	0.9006849315
389	0.155891425	0.9027370479
390	0.1553029439	0.9032730826
391	0.1550617119	0.9035409035
392	0.1543947062	0.9046108807
393	0.1540783279	0.9050988046
394	0.1536735597	0.9054119941
395	0.1535431059	0.9056787716
396	0.1530278982	0.9067445824
397	0.1528877984	0.9070107108
398	0.1524274872	0.906257609
399	0.1520767519	0.906257609
400	0.1518247101	0.9067899732
401	0.1514759786	0.9075875486
402	0.1511346079	0.9078531486
403	0.1504247806	0.9094440398
404	0.1500200823	0.9093560146
405	0.1493054217	0.9133171913
406	0.1488764706	0.9130961026
407	0.1488721967	0.9133591481
408	0.1485662354	0.9128329298
409	0.1482134113	0.913926499
410	0.14784827	0.9131381563
411	0.1472163908	0.9141890259
412	0.1467259387	0.9157208404
413	0.1463579084	0.915680116
414	0.14635233	0.915680116
415	0.1461681563	0.915942029
416	0.1457097674	0.9188147434
417	0.1452388179	0.9164654756
418	0.1449569089	0.9177718833
419	0.1446924609	0.9175108538
420	0.1445319216	0.9182935647
421	0.1442729336	0.9188147434
422	0.1442696702	0.9188147434
423	0.1440117892	0.9190751445
424	0.1437955978	0.9193354202
425	0.143790637	0.9193354202
426	0.1436500469	0.9190751445
427	0.1431735644	0.9211538462
428	0.1428648871	0.9219312995
429	0.1425820252	0.9219312995
430	0.1422748904	0.9221902017
431	0.1419693251	0.9229661627
432	0.1417617857	0.9227076332
433	0.1412837639	0.9252515573
434	0.1407236482	0.926280517
435	0.1405005943	0.9263157895
436	0.1402316323	0.9255446493
437	0.1399917742	0.9263157895
438	0.1397707268	0.9263157895
439	0.1393650642	0.9252873563
440	0.1386958631	0.9260588658
441	0.1383500866	0.9265725903
442	0.1380681451	0.9268292683
443	0.1377747767	0.9281108192
444	0.1374691125	0.9291000239
445	0.1370310701	0.9308865586
446	0.136771993	0.9306317044
447	0.1360062944	0.9313959028
448	0.1356200487	0.931650393
449	0.1352328883	0.9319047619
450	0.1348343431	0.9319047619
451	0.1346470149	0.9321266968
452	0.1342364158	0.9326350869
453	0.1335781686	0.9329210276
454	0.1331629724	0.9329210276
455	0.1330584519	0.9336819586
456	0.1324399306	0.9329529244
457	0.1319335294	0.9334916865
458	0.1316780387	0.9345040342
459	0.1312723941	0.9349786426
460	0.1308769248	0.935483871
461	0.1305191878	0.9349786426
462	0.1301426803	0.9362105762
463	0.1296899835	0.9372484016
464	0.1293221061	0.9389782403
465	0.1290840597	0.9379734848
466	0.1290784912	0.9379734848
467	0.1287983615	0.9397305602
468	0.1285272065	0.9395085066
469	0.1281466632	0.9402315143
470	0.1278642384	0.9409820585
471	0.1278596048	0.9409820585
472	0.1272623297	0.9410099103
473	0.1269089296	0.942230606
474	0.1264819158	0.942729201
475	0.1263033145	0.9429783223
476	0.1258052865	0.9430051813
477	0.1255261175	0.9435028249
478	0.1251451428	0.9442484121
479	0.124961389	0.9437514709
480	0.1246199709	0.9444967074
481	0.1244449429	0.944744886
482	0.1241087907	0.9452408931
483	0.1241047724	0.9452408931
484	0.1239146421	0.9457364341
485	0.1235784573	0.9462315097
486	0.1232830021	0.9467261206
487	0.1231826877	0.946973252
488	0.1227461802	0.9472202674
489	0.1222880351	0.9491922266
490	0.1219114767	0.9496605011
491	0.1215223009	0.9516242113
492	0.1212273477	0.9516242113
493	0.1208808585	0.9506432749
494	0.1204717865	0.9511339724
495	0.1202472265	0.9516242113
496	0.1202426529	0.9516242113
497	0.1202167867	0.9516242113
498	0.1198049162	0.9516242113
499	0.1191869928	0.9523587109
500	0.1187859954	0.9528478058
501	0.1184883862	0.9528478058
502	0.1182659053	0.9533364442
503	0.1179435927	0.9533364442
504	0.1175435441	0.9535589265
505	0.1173406513	0.9540471192
506	0.1170214738	0.9545348566
507	0.1167432601	0.9552656104
508	0.116399692	0.9557522124
509	0.1160074203	0.9555089681
510	0.1158575091	0.9557522124
511	0.115709868	0.9562383613
512	0.1154097527	0.9572093023
513	0.1149398196	0.956744186
514	0.1149330665	0.956744186
515	0.1146303816	0.9572291957
516	0.1142083979	0.9584204413
517	0.1137342033	0.9593873288
518	0.1132303931	0.9593873288
519	0.1130510078	0.9601113173
520	0.1130473369	0.9601113173
521	0.1129266498	0.9593873288
522	0.1125475644	0.9601113173
523	0.1123456263	0.9605934168
524	0.1118617297	0.9603524229
525	0.1115597232	0.9603707995
526	0.1114425855	0.9603707995
527	0.1110496805	0.9606116775
528	0.1107752816	0.961333642
529	0.1103015335	0.9627745665
530	0.109927996	0.9627745665
531	0.1096022041	0.9637329637
532	0.1092691628	0.9646732856
533	0.1091042522	0.9641949642
534	0.1087724142	0.96538994
535	0.1083741026	0.9663439373
536	0.1079774301	0.9665821618
537	0.1076664178	0.9672961769
538	0.1073346672	0.9672961769
539	0.1069448485	0.967771639
540	0.1067001751	0.9687212511
