iter	Logloss
0	0.6787497686
1	0.6659266318
2	0.6541423266
3	0.6431227312
4	0.6324569083
5	0.6220721056
6	0.6124231188
7	0.6038540287
8	0.5958839375
9	0.5886649127
10	0.5811241363
11	0.5739267068
12	0.5675096363
13	0.5615152607
14	0.5561321934
15	0.5514609275
16	0.5462062604
17	0.5418052553
18	0.5380395619
19	0.5340582698
20	0.5300585021
21	0.5263617753
22	0.5225120504
23	0.5192380038
24	0.5162048798
25	0.5132909858
26	0.5104618815
27	0.5079794663
28	0.5055529175
29	0.503356799
30	0.5009764101
31	0.4989971427
32	0.4971051189
33	0.4955118833
34	0.494014986
35	0.4924575694
36	0.4907812133
37	0.4890021466
38	0.4877402469
39	0.4861044234
40	0.4848355965
41	0.4830468474
42	0.482034659
43	0.4810362244
44	0.4797237536
45	0.4787084266
46	0.4778449627
47	0.4769681548
48	0.4757249758
49	0.4748599302
50	0.4739631657
51	0.4732510057
52	0.4725529769
53	0.4719035968
54	0.4708776668
55	0.4704797587
56	0.4695569932
57	0.4687248229
58	0.4678868555
59	0.4670047716
60	0.4661571281
61	0.465574122
62	0.464910732
63	0.4644725859
64	0.4637467551
65	0.4631473097
66	0.4623945615
67	0.4616053371
68	0.4612227467
69	0.4606338498
70	0.4602306043
71	0.459821131
72	0.4592509108
73	0.458846328
74	0.4584333999
75	0.4577747766
76	0.457286515
77	0.4567854701
78	0.4563915251
79	0.4558028517
80	0.455306933
81	0.4548802554
82	0.4544706787
83	0.4541884674
84	0.4536531814
85	0.4531713018
86	0.4528249309
87	0.452195386
88	0.4519057959
89	0.4515853736
90	0.4512131511
91	0.4507802752
92	0.4502980533
93	0.449889541
94	0.4493762427
95	0.4489061738
96	0.4486414985
97	0.4482617547
98	0.4477877239
99	0.4474059676
100	0.4469495829
101	0.4464876996
102	0.4460036402
103	0.4457460256
104	0.4454187493
105	0.4451202368
106	0.4448786628
107	0.4446578849
108	0.4443781521
109	0.4439186563
110	0.4436910565
111	0.4434114431
112	0.4431212822
