iter	Passed	Remaining
0	38	38074
1	73	36746
2	108	35978
3	143	35855
4	182	36373
5	217	36060
6	252	35793
7	289	35890
8	325	35806
9	361	35747
10	397	35760
11	432	35605
12	469	35628
13	523	36896
14	563	37013
15	601	37002
16	641	37074
17	678	37030
18	718	37080
19	756	37049
20	793	36998
21	829	36888
22	865	36753
23	899	36595
24	934	36451
25	968	36282
26	1003	36175
27	1038	36057
28	1074	35978
29	1107	35813
30	1173	36687
31	1472	44540
32	1512	44310
33	1549	44011
34	1583	43666
35	1617	43313
36	1651	42987
37	1685	42681
38	1721	42411
39	1757	42177
40	1794	41974
41	1831	41770
42	1866	41544
43	1902	41331
44	1936	41096
45	1970	40872
46	2007	40704
47	2040	40479
48	2078	40330
49	2114	40168
50	2148	39983
51	2176	39679
52	2213	39547
53	2247	39368
54	2280	39189
55	2313	39006
56	2347	38843
57	2384	38723
58	2418	38579
59	2458	38512
60	2495	38415
61	2533	38322
62	2569	38222
63	2605	38098
64	2640	37978
65	2676	37876
66	2713	37786
67	2748	37670
68	2783	37560
69	2818	37446
70	2852	37328
71	2887	37214
72	2923	37127
73	2958	37025
74	2994	36932
75	3028	36823
76	3062	36714
77	3097	36616
78	3131	36511
79	3169	36452
80	3205	36370
81	3240	36273
82	3691	40781
83	3691	40781
84	3759	40951
85	3804	40909
86	3848	40858
87	3888	40765
88	3929	40681
89	3966	40558
90	4002	40426
91	4039	40303
92	4074	40164
93	4110	40040
94	4145	39914
95	4180	39777
96	4217	39674
97	4251	39537
98	4287	39417
99	4331	39376
100	4366	39257
101	4402	39146
102	4437	39027
103	4475	38934
104	4509	38808
105	4544	38689
106	4581	38595
107	4615	38479
108	4649	38360
109	4684	38247
110	4717	38126
111	4751	38013
112	4786	37905
113	4820	37795
114	4854	37686
115	4891	37600
116	4929	37525
117	4964	37421
118	4999	37325
119	5033	37221
120	5067	37121
121	5103	37033
122	5137	36932
123	5172	36838
124	5207	36745
125	5242	36654
126	5277	36567
127	5313	36483
128	5349	36400
129	5384	36314
130	5419	36224
131	5452	36130
132	5486	36036
133	5519	35942
134	5553	35847
135	5588	35764
136	5625	35697
137	5660	35618
138	5694	35529
139	5728	35444
140	5763	35363
141	5797	35276
142	5830	35190
143	5864	35101
144	5898	35021
145	5933	34945
146	5967	34866
147	6001	34786
148	6035	34704
149	6070	34632
150	6104	34551
151	6132	34438
152	6165	34355
153	6199	34281
154	6233	34205
155	6266	34122
156	6299	34043
157	6333	33968
158	6366	33887
159	6400	33815
160	6434	33742
161	6468	33666
162	6502	33595
163	6535	33518
164	6569	33447
165	6602	33375
166	6640	33322
167	6674	33250
168	6707	33177
169	6741	33110
170	6774	33036
171	6807	32963
172	6842	32897
173	6875	32828
174	6910	32763
175	6944	32697
176	6972	32605
177	7006	32536
178	7040	32472
179	7073	32405
180	7107	32338
181	7140	32272
182	7175	32209
183	7198	32097
184	7231	32032
185	7265	31967
186	7298	31900
187	7332	31839
188	7353	31720
189	7387	31660
190	7420	31597
191	7453	31532
192	7487	31472
193	7521	31409
194	7555	31350
195	7589	31290
196	7624	31238
197	7658	31179
198	7692	31121
199	7726	31062
200	7759	31000
201	7793	30941
202	7827	30883
203	7860	30823
204	7894	30766
205	7930	30717
206	7964	30657
207	7996	30597
208	8031	30543
209	8064	30483
210	8098	30426
211	8132	30370
212	8166	30314
213	8199	30257
214	8233	30202
215	8266	30145
216	8299	30086
217	8333	30031
218	8368	29980
219	8403	29931
220	8437	29876
221	8471	29821
222	8504	29767
223	8539	29714
224	8573	29661
225	8606	29606
226	8642	29560
227	8675	29505
228	8709	29451
229	8742	29397
230	8776	29342
231	8810	29292
232	8844	29239
233	8877	29184
234	8910	29131
235	8945	29082
236	8979	29032
237	9012	28978
238	9047	28930
239	9081	28877
240	9114	28825
241	9148	28773
242	9181	28719
243	9214	28668
244	9248	28617
245	9281	28565
246	9314	28512
247	9348	28461
248	9380	28407
249	9413	28354
250	9447	28303
251	9481	28254
252	9514	28204
253	9548	28153
254	9581	28103
255	9615	28053
256	9651	28012
257	9685	27964
258	9719	27914
259	9752	27864
260	9773	27779
261	9807	27732
262	9831	27655
263	9866	27611
264	9887	27528
265	9923	27485
266	9956	27435
267	9989	27387
268	10022	27338
269	10057	27292
270	10090	27243
271	10123	27196
272	10156	27147
273	10189	27097
274	10223	27051
275	10256	27003
276	10290	26957
277	10324	26910
278	10357	26861
279	10389	26812
280	10423	26766
281	10457	26721
282	10490	26672
283	10523	26625
284	10557	26579
285	10590	26532
286	10627	26493
287	10660	26446
288	10694	26401
289	10727	26355
290	10761	26309
291	10794	26261
292	10827	26215
293	10859	26167
294	10894	26124
295	10930	26083
296	10963	26038
297	10996	25991
298	11029	25946
299	11062	25899
300	11096	25854
301	11129	25809
302	11163	25764
303	11197	25720
304	11230	25675
305	11264	25630
306	11297	25585
307	11331	25542
308	11364	25497
309	11398	25452
310	11431	25408
311	11465	25363
312	11499	25319
313	11532	25276
314	11566	25231
315	11592	25173
316	11631	25139
317	11658	25083
318	11691	25037
319	11724	24992
320	11759	24951
321	11792	24908
322	11826	24864
323	11860	24821
324	11894	24781
325	11928	24738
326	11962	24695
327	11996	24653
328	12030	24611
329	12065	24570
330	12100	24530
331	12133	24486
332	12167	24444
333	12199	24399
334	12233	24356
335	12267	24314
336	12300	24272
337	12334	24229
338	12367	24186
339	12401	24143
340	12435	24102
341	12470	24064
342	12506	24026
343	12540	23984
344	12576	23945
345	12614	23912
346	12650	23875
347	12685	23835
348	12720	23796
349	12754	23755
350	12787	23711
351	12820	23668
352	12853	23626
353	12889	23588
354	12927	23554
355	12967	23523
356	13006	23492
357	13043	23456
358	13082	23424
359	13120	23389
360	13154	23349
361	13187	23306
362	13221	23265
363	13254	23223
364	13288	23182
365	13321	23140
366	13355	23098
367	13391	23061
368	13424	23019
369	13458	22977
370	13490	22934
371	13525	22895
372	13562	22859
373	13603	22830
374	13641	22796
375	13679	22762
376	13718	22729
377	13754	22692
378	13787	22650
379	13820	22609
380	13853	22566
381	13887	22525
382	13925	22492
383	13959	22452
384	13995	22414
385	14029	22374
386	14063	22333
387	14097	22293
388	14130	22252
389	14164	22211
390	14198	22171
391	14231	22130
392	14264	22088
393	14298	22047
394	14332	22007
395	14365	21966
396	14399	21926
397	14432	21885
398	14466	21845
399	14501	21806
400	14533	21764
401	14566	21723
402	14602	21686
403	14637	21646
404	14670	21606
405	14704	21567
406	14738	21526
407	14771	21486
408	14805	21445
409	14838	21405
410	14873	21366
411	14907	21327
412	14941	21287
413	14974	21247
414	15007	21206
415	15041	21167
416	15075	21127
417	15109	21087
418	15143	21049
419	15177	21008
420	15210	20968
421	15244	20929
422	15277	20888
423	15310	20848
424	15344	20809
425	15376	20767
426	15409	20727
427	15443	20687
428	15476	20647
429	15509	20606
430	15542	20566
431	15576	20527
432	15613	20492
433	15647	20454
434	15682	20415
435	15716	20376
436	15749	20337
437	15782	20297
438	15815	20257
439	15849	20218
440	15885	20181
441	15918	20142
442	15952	20103
443	15986	20064
444	16019	20023
445	16053	19985
446	16086	19945
447	16119	19906
448	16153	19867
449	16187	19828
450	16220	19789
451	16254	19750
452	16287	19711
453	16321	19671
454	16354	19632
455	16387	19592
456	16420	19553
457	16454	19514
458	16487	19475
459	16520	19435
460	16554	19397
461	16589	19360
462	16624	19323
463	16658	19285
464	16691	19245
465	16724	19206
466	16758	19167
467	16791	19128
468	16824	19089
469	16859	19052
470	16894	19015
471	16928	18977
472	16961	18938
473	16994	18899
474	17027	18860
475	17061	18821
476	17095	18783
477	17128	18744
478	17163	18707
479	17197	18669
480	17229	18629
481	17264	18592
482	17298	18554
483	17332	18516
484	17365	18477
485	17398	18439
486	17432	18401
487	17465	18362
488	17498	18323
489	17533	18286
490	17567	18248
491	17604	18214
492	17639	18177
493	17673	18139
494	17706	18100
495	17740	18063
496	17774	18025
497	17809	17988
498	17844	17952
499	17881	17917
500	17915	17879
501	17950	17842
502	17984	17805
503	18019	17768
504	18052	17730
505	18087	17693
506	18120	17655
507	18155	17618
508	18190	17581
509	18224	17543
510	18258	17506
511	18291	17468
512	18326	17431
513	18365	17398
514	18403	17364
515	18440	17330
516	18480	17298
517	18515	17262
518	18549	17224
519	18584	17188
520	18618	17150
521	18652	17113
522	18686	17075
523	18720	17037
524	18754	17000
525	18787	16962
526	18820	16924
527	18853	16886
528	18889	16850
529	18923	16813
530	18956	16774
531	18990	16737
532	19023	16699
533	19057	16661
534	19091	16624
535	19125	16587
536	19158	16549
537	19192	16511
538	19225	16473
539	19259	16436
540	19293	16399
541	19326	16361
542	19360	16324
543	19394	16287
544	19427	16248
545	19460	16211
546	19493	16172
547	19526	16135
548	19559	16097
549	19595	16062
550	19628	16024
551	19662	15986
552	19696	15950
553	19730	15912
554	19763	15875
555	19797	15837
556	19830	15800
557	19865	15763
558	19898	15726
559	19932	15689
560	19965	15651
561	19998	15613
562	20032	15576
563	20065	15539
564	20099	15501
565	20133	15465
566	20166	15427
567	20199	15390
568	20235	15354
569	20269	15317
570	20302	15280
571	20336	15243
572	20370	15206
573	20404	15169
574	20437	15132
575	20471	15095
576	20504	15058
577	20538	15021
578	20575	14986
579	20609	14949
580	20642	14912
581	20675	14875
582	20711	14839
583	20745	14802
584	20778	14765
585	20812	14728
586	20845	14691
587	20880	14655
588	20913	14618
589	20948	14582
590	20982	14545
591	21015	14508
592	21049	14471
593	21082	14434
594	21116	14397
595	21149	14360
596	21184	14324
597	21217	14287
598	21250	14250
599	21284	14213
600	21318	14176
601	21351	14139
602	21385	14102
603	21418	14066
604	21452	14029
605	21486	13992
606	21519	13955
607	21553	13918
608	21589	13883
609	21623	13847
610	21657	13810
611	21690	13774
612	21724	13737
613	21758	13701
614	21792	13664
615	21826	13627
616	21860	13591
617	21894	13555
618	21928	13518
619	21961	13482
620	21996	13446
621	22031	13410
622	22067	13375
623	22103	13340
624	22139	13304
625	22174	13268
626	22207	13232
627	22242	13196
628	22280	13162
629	22318	13128
630	22352	13091
631	22386	13055
632	22421	13020
633	22456	12984
634	22491	12948
635	22524	12911
636	22558	12875
637	22597	12841
638	22632	12805
639	22667	12770
640	22701	12733
641	22734	12697
642	22769	12661
643	22802	12624
644	22837	12588
645	22873	12553
646	22909	12518
647	22945	12483
648	22980	12447
649	23014	12411
650	23047	12374
651	23081	12338
652	23115	12302
653	23149	12266
654	23189	12232
655	23225	12198
656	23263	12163
657	23302	12129
658	23341	12096
