iter	Passed	Remaining
0	22	22089
1	41	20669
2	56	18673
3	66	16641
4	79	15799
5	88	14740
6	99	14046
7	114	14165
8	129	14251
9	142	14119
10	161	14564
11	173	14268
12	184	13993
13	196	13821
14	208	13678
15	222	13670
16	234	13571
17	244	13347
18	255	13177
19	268	13174
20	279	13034
21	294	13109
22	311	13253
23	325	13224
24	344	13428
25	359	13462
26	374	13485
27	390	13541
28	400	13415
29	428	13843
30	448	14023
31	461	13954
32	473	13870
33	483	13734
34	493	13600
35	505	13547
36	517	13458
37	527	13364
38	537	13252
39	1069	25677
40	1081	25292
41	1097	25036
42	1108	24660
43	1118	24300
44	1129	23964
45	1138	23619
46	1148	23292
47	1159	22989
48	1168	22672
49	1176	22360
50	1185	22061
51	1194	21773
52	1202	21493
53	1212	21234
54	1221	20991
55	1231	20755
56	1247	20631
57	1264	20530
58	1275	20336
59	1286	20150
60	1295	19944
61	1305	19756
62	1414	21032
63	1432	20948
64	1446	20801
65	1459	20649
66	1471	20487
67	1481	20300
68	1511	20394
69	1548	20570
70	1566	20495
71	1579	20354
72	1589	20184
73	1608	20128
74	1621	20002
75	1641	19951
76	1652	19813
77	1664	19678
78	1680	19587
79	1693	19480
80	1707	19376
81	1721	19268
82	1755	19397
83	1769	19297
84	1784	19206
85	1803	19169
86	1819	19096
87	1830	18966
88	1841	18846
89	1857	18782
90	1869	18676
91	1879	18547
92	1890	18440
93	1903	18343
94	1922	18312
95	1943	18299
96	1953	18188
97	1964	18076
98	1973	17963
99	1999	17998
100	2032	18094
101	2046	18015
102	2058	17923
103	2070	17837
104	2082	17749
105	2093	17654
106	2184	18229
107	2201	18181
108	2210	18072
109	2221	17971
110	2235	17907
111	2253	17868
112	2269	17811
113	2279	17716
114	2290	17624
115	2300	17533
116	2316	17483
117	2328	17406
118	2340	17329
119	2349	17232
120	2366	17194
121	2378	17115
122	2390	17047
123	2401	16963
124	2415	16910
125	2426	16833
126	2440	16773
127	2452	16711
128	2465	16644
129	2475	16565
130	2484	16484
131	2495	16408
132	2516	16403
133	2531	16361
134	2542	16287
135	2551	16210
136	2561	16135
137	2572	16066
138	2582	15995
139	2593	15933
140	2607	15886
141	2622	15845
142	2636	15798
143	2652	15769
144	2663	15706
145	2677	15663
146	2695	15640
147	2709	15599
148	2721	15543
149	2734	15496
150	2755	15493
151	2776	15492
152	2789	15441
153	2801	15391
154	2818	15364
155	2830	15311
156	2842	15263
157	2859	15240
158	2881	15239
159	2896	15204
160	2905	15143
161	2917	15094
162	2934	15067
163	2946	15018
164	2957	14965
165	2970	14921
166	2981	14873
167	2996	14839
168	3010	14803
169	3026	14774
170	3042	14748
171	3057	14716
172	3069	14674
173	3081	14629
174	3092	14576
175	3105	14541
176	3126	14539
177	3151	14554
178	3165	14518
179	3177	14475
180	3188	14427
181	3201	14389
182	3211	14335
183	3223	14293
184	3237	14261
