iter	MAPE	MAE
0	0.9450155968	1008264.324
1	0.8954598609	962863.637
2	0.8462173183	922371.2907
3	0.8006507482	882227.3961
4	0.7571404188	843240.1401
5	0.7151346776	808670.2609
6	0.6749960505	776088.7257
7	0.6379617179	744143.5943
8	0.602994979	711609.88
9	0.5703246578	684663.9444
10	0.5401986403	659341.2669
11	0.5114744681	633373.88
12	0.4859233298	609095.1345
13	0.4609008529	584685.7313
14	0.4384672968	562147.4689
15	0.4177764388	539954.4634
16	0.3990529525	519700.0569
17	0.3826565816	502383.0671
18	0.366537135	486189.4906
19	0.3543949859	473477.8503
20	0.3411075877	458899.9087
21	0.3283938126	444054.3773
22	0.3167980906	430135.2072
23	0.3061853519	416366.3193
24	0.2953520031	402936.6351
25	0.2859062222	390784.5131
26	0.277061908	378922.4944
27	0.2695506921	368421.3945
28	0.2624339496	358640.3346
29	0.2565407043	349933.7758
30	0.2503522812	340793.0729
31	0.2446518396	332832.7513
32	0.2395341783	325088.9659
33	0.2353697626	318011.9418
34	0.23083418	311020.0784
35	0.2266566074	304123.6666
36	0.2232087647	298541.5276
37	0.2199437024	292863.6419
38	0.2170091981	287537.1591
39	0.2143989019	282894.7074
40	0.2122242722	278710.842
41	0.2100318257	274228.619
42	0.2074820084	269208.4009
43	0.2055337697	264974.1881
44	0.2034281635	261025.3527
45	0.2018982398	257770.5413
46	0.2004542478	254371.6882
47	0.1987133706	251065.736
48	0.1968596993	247462.7411
49	0.1957991699	244768.7073
50	0.1943251608	241766.3084
51	0.1930718595	239081.4721
52	0.191877291	236529.4118
53	0.1907680616	234199.3109
54	0.1898480553	232364.468
55	0.1890900267	230510.1179
56	0.1884152604	228754.7955
57	0.1877689705	227275.292
58	0.187102147	225860.1768
59	0.1861742055	224005.3314
60	0.1856529497	222763.8389
61	0.1850088841	221222.8897
62	0.1844814587	219824.3256
63	0.1841259694	218649.856
64	0.183471363	217310.9864
65	0.1830600913	216340.4774
66	0.1827108652	215328.3743
67	0.1823818999	214381.2731
68	0.1818595063	213110.8061
69	0.1814728695	212439.6982
70	0.1811183421	211412.8922
71	0.1808163891	210587.7855
72	0.1803073119	209657.4094
73	0.1799116663	208875.6985
74	0.1795646295	208255.1132
75	0.1791818489	207645.4791
76	0.1789434127	207011.1213
77	0.1786284817	206173.8117
78	0.1782354212	205552.7041
79	0.1779169935	205020.6098
80	0.1777216906	204628.8974
81	0.1774124968	204188.9011
82	0.1771392736	203563.9572
83	0.1769092537	203084.8412
84	0.1766485189	202491.1434
85	0.1764308537	202023.299
86	0.1761490975	201662.4283
87	0.1759520066	201300.6073
88	0.1756635705	200637.6357
89	0.1751590752	199925.8957
90	0.1749877168	199690.7244
91	0.1748015314	199412.367
92	0.1745642675	198972.2114
93	0.1742154315	198329.648
94	0.1739485019	197873.6806
95	0.1737682187	197524.697
96	0.1735250627	197161.8293
97	0.173356524	196886.7113
98	0.1732223403	196676.7338
99	0.1730146341	196423.5787
100	0.1727889692	196143.0676
101	0.1726039286	195926.5762
102	0.1723385963	195586.6611
103	0.1721843467	195333.1445
104	0.1719150084	194975.2184
105	0.1717215499	194803.8469
106	0.1714543801	194503.5423
107	0.1713364076	194352.7676
108	0.17118192	194089.7348
109	0.1709631833	193879.9531
110	0.170753887	193678.1297
111	0.1706032939	193388.3589
112	0.1704362927	193156.6036
113	0.1701850251	192777.2779
114	0.1699918481	192444.1012
115	0.1698192654	192152.1359
116	0.1696696222	191941.5641
117	0.1694734733	191629.4065
118	0.1693745424	191439.0511
119	0.169296768	191347.1427
120	0.169195393	191192.4788
121	0.1691884821	191181.6973
122	0.1690574998	190944.9431
123	0.1688740959	190693.5614
124	0.1687159657	190504.3975
125	0.1686256146	190426.996
126	0.1685150441	190196.1819
127	0.1683332465	189998.1799
128	0.1680937891	189614.1886
129	0.1680295956	189479.6765
130	0.167868871	189307.7702
131	0.1677199074	189173.4532
132	0.1676100054	188985.8799
133	0.1675148233	188842.0959
134	0.1673160977	188546.7176
135	0.1671215717	188401.2445
136	0.1668991806	188207.0642
137	0.1667257444	188026.8669
138	0.1665846665	187877.9576
139	0.1664377852	187705.9974
140	0.1663105456	187606.7751
141	0.1661938855	187536.6533
142	0.1660476125	187343.7142
143	0.1659105169	187115.6039
144	0.1657541461	186939.1578
145	0.1656583098	186848.7948
146	0.1654885714	186665.9322
147	0.165371494	186498.7054
148	0.165226283	186376.5786
149	0.1651669923	186273.1648
150	0.1650352557	186143.9906
151	0.1649345754	186056.6668
152	0.1648637302	186001.5561
153	0.1647627649	185877.1416
154	0.1646551751	185724.6596
155	0.1645711917	185636.2333
156	0.164433624	185520.0719
