iter	MAPE	MAE
74	0.18152564	211744.3084
75	0.1812335317	210993.4643
76	0.1808285447	210154.9085
77	0.180545051	209668.6443
78	0.1802476979	209077.5133
79	0.1799020193	208551.8489
80	0.1795065893	207891.1524
81	0.1792560419	207431.7793
82	0.1789144897	206853.6764
83	0.178636635	206169.2423
84	0.1783974522	205609.8482
85	0.1781710868	205147.9454
86	0.177870549	204764.0322
87	0.1776731187	204537.1457
88	0.1774965644	204290.3493
89	0.1771276189	203685.9507
90	0.1768816888	203307.4252
91	0.1767088064	202939.4763
92	0.1764743167	202660.811
93	0.1761122945	202154.0801
94	0.1758411218	201767.8122
95	0.1755883459	201390.9678
96	0.1753928962	201126.5346
97	0.1752756265	200926.6785
98	0.1750507786	200576.8806
99	0.1747669914	200205.8798
100	0.1745248028	199746.3431
101	0.1742932251	199309.0973
102	0.174086496	199100.5012
103	0.1738414407	198805.1691
104	0.1736894045	198618.592
105	0.1735215953	198450.9998
106	0.1732527285	198154.6264
107	0.172966122	197782.0567
108	0.1727371843	197526.3689
109	0.172491862	197086.6392
110	0.1722582052	196819.0206
111	0.1720528425	196544.1086
112	0.1719178339	196433.6604
113	0.171783205	196200.2689
114	0.1715634596	195871.3873
115	0.1714084521	195656.3079
116	0.1712297061	195430.6195
117	0.1710978831	195193.4381
118	0.1709093864	195007.4459
119	0.170727703	194742.5838
120	0.1705667571	194456.8969
121	0.1704123695	194232.9058
122	0.1701865936	194034.2041
123	0.1699929088	193843.7051
124	0.1697419951	193465.755
125	0.1695868895	193352.6214
126	0.1695168585	193281.5851
127	0.1693960868	193185.3831
128	0.1691633677	192993.577
129	0.1690235891	192767.7655
130	0.1688266685	192497.39
131	0.168679314	192333.308
132	0.1685553517	192091.4319
133	0.1684442607	192023.2722
134	0.1683091848	191887.7325
135	0.1682079935	191710.6971
136	0.1680536189	191523.0944
137	0.167935298	191390.1248
138	0.1677691486	191128.1985
139	0.1676289768	190937.5123
140	0.167503152	190764.5156
141	0.1673037103	190527.4952
142	0.1672122456	190401.5069
143	0.1670847487	190141.6439
144	0.1669519069	189900.0701
145	0.1667909445	189680.1096
146	0.166636729	189461.8892
147	0.1663450565	189178.7015
148	0.1661959175	189008.5263
149	0.1660265606	188853.0503
150	0.1658979794	188716.3814
151	0.1658107499	188639.7042
152	0.1657229642	188540.1347
153	0.1655794985	188270.6332
154	0.1654592144	188137.8366
155	0.1652952897	187957.494
156	0.165176944	187816.1831
157	0.1650935609	187711.7658
158	0.1649918619	187575.2289
159	0.1648938644	187473.3001
160	0.1647410053	187206.5097
161	0.1646125546	187050.1886
162	0.1644968958	186941.6453
163	0.1643580812	186730.2446
164	0.1642192987	186572.5974
165	0.1641194974	186447.2673
166	0.1640160642	186323.2114
167	0.163981077	186252.7946
168	0.1638768922	186105.2071
169	0.1637905084	185949.5263
170	0.1636700379	185719.0889
171	0.1634782885	185515.682
172	0.1633173372	185327.335
173	0.1631446815	185098.5242
174	0.1630716488	185046.4233
175	0.1630162493	184986.6915
176	0.1628494095	184761.184
177	0.1627379878	184649.1231
178	0.1626564597	184574.3921
179	0.1625313657	184500.632
180	0.1623827297	184388.5761
181	0.1622479527	184266.4951
182	0.1620168537	184067.744
183	0.1618662208	183963.4242
184	0.1617347295	183784.012
185	0.1615583004	183638.0804
186	0.1614369709	183454.7475
187	0.1613242346	183263.9308
188	0.1611979584	183172.9166
189	0.1610197713	182986.8518
190	0.1608677123	182882.2109
191	0.1607752145	182730.8838
192	0.1606633042	182617.8851
193	0.1605687799	182519.2907
194	0.1604153174	182359.5589
195	0.1603178195	182194.6157
196	0.1601706179	182014.9262
197	0.1600404045	181936.9955
198	0.1599540159	181789.7586
199	0.1598358039	181673.2465
200	0.1596951397	181487.287
201	0.1596192847	181406.9121
202	0.1595154774	181253.4603
203	0.1593480587	181069.8605
204	0.1592470283	180995.311
205	0.1591272644	180896.9048
206	0.159031318	180816.7585
207	0.1589477461	180760.3155
208	0.1587072801	180549.9534
209	0.15854505	180388.1818
210	0.1584178544	180283.8091
211	0.1583564537	180222.125
212	0.1582543074	180118.9291
213	0.1581435203	179909.6471
214	0.1580604408	179775.8992
215	0.1579602172	179599.3583
216	0.1578640192	179530.2784
217	0.157749066	179378.1014
218	0.1576489945	179240.0065
219	0.1575516159	179112.1202
220	0.1574165896	178978.3796
221	0.1573310839	178884.4147
222	0.157250765	178746.8233
223	0.1571701299	178687.956
224	0.1570509523	178574.4027
225	0.1569016248	178452.7319
226	0.1568123521	178380.7682
227	0.1567386288	178325.1411
228	0.1566218162	178168.137
229	0.156546461	178100.6629
230	0.1564471885	177997.4641
231	0.1563602322	177925.4381
232	0.1563112624	177877.2283
233	0.1562381117	177782.3871
234	0.1561872847	177753.0045
235	0.1560924866	177681.106
236	0.1559453323	177506.9156
237	0.1558417338	177421.239
238	0.1557259247	177305.1582
239	0.155639108	177191.2886
240	0.1555006794	177056.1733
241	0.1554022412	176996.3407
242	0.1553310603	176900.1017
243	0.155267331	176842.0894
244	0.1552136548	176783.5856
245	0.1551052811	176657.8817
246	0.1550257248	176552.0089
247	0.154939816	176476.0521
248	0.1548783034	176424.982
249	0.1547650586	176277.6473
250	0.1546487309	176200.6479
251	0.1545583547	176129.9156
252	0.1545021067	176078.5148
253	0.1544512168	176041.6751
254	0.1543262365	175899.94
255	0.1542569199	175844.6051
256	0.1541859172	175727.5795
257	0.1540849253	175518.5868
258	0.153976637	175401.1332
259	0.1539118331	175350.9344
260	0.1538459579	175293.4228
261	0.1537615973	175192.681
262	0.1536440816	175077.0216
263	0.1535739918	175036.745
264	0.15342252	174883.8332
265	0.1532238086	174711.8418
266	0.1530994406	174621.1844
267	0.1530158663	174492.4587
268	0.1529222633	174391.2835
269	0.1528602938	174339.1002
270	0.1527875666	174259.7044
271	0.1527237769	174193.8587
272	0.1526335476	174096.2321
273	0.1525659333	173971.7087
274	0.1524983451	173929.0112
275	0.1524298107	173852.7882
276	0.1523727801	173799.2958
277	0.1522980011	173708.6776
278	0.1522199949	173612.0173
279	0.1521438215	173504.9936
280	0.1520500571	173421.3913
281	0.1519626838	173332.9268
282	0.1519113361	173292.1703
283	0.1518632447	173249.9328
284	0.1517774479	173189.42
285	0.1517431885	173159.2611
286	0.1516375339	173080.8178
287	0.151560118	173012.5073
288	0.1514824656	172883.0932
289	0.1514115694	172817.0934
290	0.1513617499	172773.9557
291	0.1512566235	172682.1745
292	0.1511488961	172596.6017
293	0.1510646655	172527.2113
294	0.1509732322	172420.7233
295	0.1508895529	172321.1716
296	0.1507871425	172200.6025
297	0.1507266328	172153.7158
298	0.1506458964	172062.2568
299	0.1505377977	172012.4383
300	0.1504923238	171909.9032
301	0.1503851853	171803.0197
302	0.1502793334	171687.9129
303	0.150179925	171616.155
304	0.1500977727	171533.8726
305	0.1500257715	171473.0108
306	0.1499366551	171396.9849
307	0.1498889015	171344.7081
308	0.1498121709	171245.2234
309	0.1497582765	171208.8978
310	0.1496787697	171097.1893
311	0.1496063127	171034.7458
312	0.149517231	170929.2882
313	0.1494627735	170873.4808
314	0.1494052945	170783.1116
315	0.1493686004	170762.1375
316	0.1493220317	170718.8795
317	0.1492573065	170665.7789
318	0.1492281132	170648.5721
319	0.1491409918	170580.4543
320	0.1490874888	170528.6824
321	0.1490560046	170482.0256
322	0.1490307366	170453.5849
323	0.1489491593	170360.9851
324	0.1488895545	170295.4686
325	0.1488146728	170211.5464
326	0.1487268315	170127.6561
327	0.148660975	170081.9058
328	0.148594367	170025.0478
329	0.148490229	169927.4025
330	0.1484371269	169885.237
331	0.1483576049	169822.9752
332	0.1483040112	169775.9859
333	0.1482723013	169747.3146
334	0.1482341072	169715.2876
335	0.1481097539	169525.1894
336	0.148061726	169496.1924
337	0.1480412787	169450.4252
338	0.1480111124	169429.2132
339	0.1479529603	169382.6325
340	0.1478760612	169275.6687
341	0.1478304025	169187.7213
342	0.1477598615	169129.5527
343	0.1476873569	169002.0791
344	0.1476488711	168934.0962
345	0.147600353	168896.2583
346	0.147541716	168823.4898
347	0.147482657	168774.602
348	0.1474379345	168734.4861
349	0.1473649093	168679.5896
350	0.147285158	168600.7454
351	0.1472544859	168570.2426
352	0.1471850599	168508.3787
353	0.1471278264	168461.1037
354	0.1470544932	168387.2541
355	0.1470173443	168362.0304
356	0.1469587303	168295.1672
357	0.1468440499	168188.673
358	0.1468070239	168157.1306
359	0.1467645952	168092.4928
360	0.146691794	167977.589
361	0.14663113	167911.44
362	0.1465925224	167868.7079
363	0.146514456	167794.5949
364	0.1464402633	167727.9303
365	0.1463618444	167602.4162
366	0.1463432358	167570.8799
367	0.1462853351	167503.9148
368	0.1462197941	167438.8768
369	0.1461613927	167360.5341
370	0.1460739126	167264.9882
371	0.1460329403	167232.4822
372	0.1459774084	167174.8354
373	0.1458806799	167068.6324
374	0.1458231543	167011.3755
375	0.1457839068	166977.6542
376	0.1457258914	166909.4608
377	0.1456665475	166853.5991
378	0.1455644817	166759.225
379	0.1455077817	166693.4903
380	0.1454491335	166621.3906
381	0.1454006465	166572.9963
382	0.1453289041	166514.373
383	0.1452844555	166466.1291
384	0.1452412745	166425.1155
385	0.1451574259	166352.3574
386	0.1451300731	166313.6845
387	0.1450253987	166164.1444
388	0.1449637432	166067.805
389	0.1449234165	166026.8972
390	0.1448928242	165971.9506
391	0.144772767	165872.5737
392	0.1447412128	165835.6493
393	0.1446691088	165771.5903
394	0.1446049094	165732.1495
395	0.144546733	165679.1956
396	0.1444635399	165570.0047
397	0.1444057455	165509.2395
398	0.1443463538	165465.517
399	0.1443175806	165430.21
400	0.1442381773	165369.9971
401	0.1441875726	165317.1515
402	0.1441442584	165261.3884
403	0.14408566	165202.3051
404	0.1440504866	165172.2532
405	0.1439790029	165085.4481
406	0.1438780312	164960.711
407	0.1438289808	164898.7771
408	0.1437910845	164863.3936
409	0.1437070521	164777.2995
410	0.1436891797	164760.5409
411	0.1436215243	164706.1987
412	0.1435622768	164628.6201
413	0.1435100929	164586.8516
414	0.143483534	164556.283
415	0.1434455413	164527.2583
416	0.1434309278	164517.1786
417	0.1433747737	164479.228
418	0.1433428229	164458.4881
419	0.1432914819	164407.6178
420	0.1432155898	164349.4907
421	0.1431834513	164323.0482
422	0.1431460031	164298.9131
423	0.1431127241	164251.9814
424	0.1430369988	164120.6979
425	0.1429946546	164074.3895
426	0.1429163858	163936.0319
427	0.1428575365	163854.2624
428	0.1428040285	163774.4133
429	0.1427689365	163737.4518
430	0.1427224905	163698.0944
431	0.1426883158	163671.8222
432	0.1426423331	163618.5154
433	0.1425953649	163573.216
434	0.142550039	163533.3469
435	0.1424774275	163445.0329
436	0.1424423895	163405.5042
437	0.1423568171	163326.5403
438	0.1422926249	163250.8693
439	0.1422662413	163222.2184
440	0.1422133125	163187.5259
441	0.1421940308	163170.1784
442	0.1421478516	163133.1455
443	0.1420863416	163093.0907
444	0.1420410523	163045.5267
445	0.1419451733	162968.3313
446	0.1418932804	162914.9855
447	0.1418420645	162880.2593
448	0.1418027832	162842.1842
449	0.1417503181	162794.4483
450	0.1417223575	162773.766
451	0.1416820175	162737.6667
452	0.1416427851	162697.516
453	0.1415874848	162606.5685
454	0.1415442469	162574.1244
455	0.1415020291	162525.5016
456	0.1414356198	162451.3831
457	0.1413778141	162324.4449
458	0.141327541	162258.2005
459	0.1412919788	162236.3248
460	0.14126143	162202.3324
461	0.1412170467	162168.5809
462	0.1411451962	162092.1187
463	0.1411151826	162055.7933
464	0.1410763791	161996.3229
465	0.1410412178	161969.2219
466	0.1410075652	161945.6138
467	0.1409946104	161937.1212
468	0.1409529063	161894.1685
469	0.1409031502	161843.1777
470	0.1408622122	161803.0755
471	0.1407866372	161732.4011
472	0.1407500601	161693.801
473	0.1406627431	161597.9169
474	0.1406307698	161571.4497
475	0.1405903084	161528.3279
476	0.1405380318	161485.8096
477	0.1405296374	161473.5622
478	0.1404996537	161447.4192
479	0.140466541	161430.9171
480	0.1404317223	161381.7452
481	0.1404068443	161342.3665
482	0.1403472994	161279.7434
483	0.1402725355	161222.8271
484	0.1402174592	161184.5395
485	0.1402105434	161172.4968
486	0.140168394	161123.9585
487	0.1401140056	161086.1777
488	0.1400117547	161008.0742
489	0.1399773059	160979.4953
490	0.1399315305	160920.0767
491	0.1398844148	160821.1866
492	0.1398212702	160762.1536
493	0.139757604	160703.7725
494	0.1397128089	160670.8738
495	0.1396795679	160646.3404
496	0.1396263068	160606.2409
497	0.1395959156	160563.7081
498	0.1395377388	160444.828
499	0.139494287	160406.3252
500	0.1394571742	160376.5603
501	0.139393182	160313.8042
502	0.1393164909	160225.4604
503	0.1392723124	160193.2008
504	0.1392412741	160176.5823
505	0.1391637879	160018.4514
506	0.139124347	159984.4809
507	0.1390385161	159916.6623
508	0.1389634965	159847.7211
509	0.1389482871	159824.5195
510	0.1389380925	159811.8841
511	0.1388807452	159770.9152
512	0.1388362385	159731.0679
513	0.1387883038	159669.5955
514	0.1387503114	159638.056
515	0.1386996466	159596.0889
516	0.1386496801	159521.5889
517	0.138592105	159436.0997
518	0.1385425212	159359.7059
519	0.1385149177	159329.2247
520	0.1384758895	159273.2626
521	0.1384366768	159212.8316
522	0.1384190323	159196.2207
523	0.1383965359	159180.8989
524	0.1383536837	159137.523
525	0.138307361	159087.9666
526	0.1382452982	158991.3597
527	0.1382164002	158963.5289
528	0.1381358592	158872.7789
529	0.1380952933	158829.9941
530	0.1380382779	158779.9875
531	0.1379700869	158708.1622
532	0.1379505655	158693.8148
533	0.1378948847	158646.364
534	0.1378489119	158587.7515
535	0.1377447357	158500.0896
536	0.1376979889	158461.6114
537	0.1376531214	158405.4907
538	0.1376163642	158376.7126
539	0.1375824843	158350.4612
540	0.1375521612	158327.3067
541	0.137507242	158300.5204
542	0.1374235956	158234.5835
543	0.1374094213	158219.6311
544	0.1373475897	158180.4085
545	0.1373181805	158126.4866
546	0.1372210012	158014.998
547	0.1371732798	157972.5956
548	0.1371403076	157951.044
549	0.1371119548	157930.6749
550	0.1370707511	157896.5522
551	0.1370302477	157832.5383
552	0.1369820819	157799.0445
553	0.1369469719	157765.3798
554	0.1369200776	157734.7946
555	0.1368807443	157695.5762
556	0.136841875	157650.7579
557	0.1368078943	157627.8653
558	0.1367878188	157610.5587
559	0.1367484891	157570.5174
560	0.136729847	157559.3088
561	0.1366780096	157507.8775
562	0.1366272756	157450.1286
563	0.1365950934	157424.3039
564	0.1365627277	157397.0988
565	0.1365058351	157360.0577
566	0.1364585801	157320.4971
567	0.1364250833	157277.8636
568	0.1363817633	157242.8442
569	0.1363651144	157204.4562
570	0.1363503166	157193.224
571	0.1363188526	157153.2657
572	0.1362536312	157103.0419
573	0.1361862732	156976.216
574	0.1361772877	156970.5672
575	0.1361387124	156949.3215
576	0.1360781122	156876.7436
577	0.1360182475	156819.6039
578	0.1359513596	156737.1665
579	0.1359271056	156712.29
580	0.135901881	156667.563
581	0.1358534247	156625.8114
582	0.1358046063	156588.3481
583	0.1357592752	156552.1456
584	0.135718464	156488.2037
585	0.1356998024	156468.1467
586	0.1356261685	156382.8427
587	0.1355933447	156354.6179
588	0.135580161	156331.884
589	0.1355659378	156323.4642
590	0.1355178474	156285.02
591	0.1354712194	156233.2979
592	0.1354164772	156163.1553
593	0.1353576263	156085.6766
594	0.1353296686	156046.2406
595	0.1353007318	156021.5436
596	0.1352779201	156006.158
597	0.1352346322	155958.2917
598	0.1351928544	155916.3165
599	0.1351729281	155893.6341
600	0.1351510716	155870.4595
601	0.1351371774	155842.1139
602	0.1350851271	155808.1079
603	0.1350773444	155800.0468
604	0.1350198162	155744.8134
605	0.1349904659	155722.3386
606	0.1349542752	155678.008
607	0.1349253928	155647.5872
608	0.1349049001	155613.9924
609	0.1348739715	155576.0727
610	0.1348363676	155525.1214
611	0.1348256142	155511.6972
612	0.1347805104	155487.409
613	0.1347269455	155421.4998
614	0.1346823651	155376.6746
615	0.1346585439	155356.022
616	0.1346350655	155335.8051
617	0.1346151663	155287.5442
618	0.1345713255	155251.8799
619	0.1345658334	155245.2182
620	0.1345389891	155225.3915
621	0.134504968	155195.897
622	0.1344872471	155177.0158
623	0.1344613933	155151.9564
624	0.1344439146	155136.6915
625	0.1344007843	155072.7531
626	0.1343698148	155050.1009
627	0.1343511482	155035.2255
628	0.134301285	154980.3851
629	0.13427741	154959.8348
630	0.13423297	154925.1714
631	0.1342089936	154895.8224
632	0.134190051	154876.0585
633	0.1341630206	154858.4619
634	0.1341173637	154817.8738
635	0.1340777541	154789.3983
636	0.1340571504	154767.0247
637	0.1340318264	154746.8361
638	0.134017214	154733.4008
639	0.1339873775	154707.0764
640	0.133968627	154690.7467
641	0.1339565391	154678.491
642	0.1339157719	154640.312
643	0.1338728562	154593.9264
644	0.1338453609	154561.7558
645	0.133822095	154539.4985
646	0.1337922113	154495.6452
647	0.1337890882	154492.2896
648	0.1337553674	154469.1775
649	0.1337222577	154447.7154
650	0.1336745726	154409.8227
651	0.1336559893	154394.6664
652	0.1336155696	154359.6912
653	0.1335440016	154290.0649
654	0.1334973746	154225.8621
655	0.1334604282	154188.7551
656	0.1334117407	154144.6072
657	0.1333928142	154121.321
658	0.1333516201	154076.4998
659	0.133293462	154035.5848
660	0.1332528407	153986.2692
661	0.133233826	153959.5439
662	0.1332257033	153941.3101
663	0.1331924887	153907.6148
664	0.1331291272	153830.0372
665	0.1330987944	153809.1184
666	0.1330855787	153790.933
667	0.1330509176	153758.3618
668	0.1330459293	153732.6462
669	0.132983432	153684.3338
670	0.1329547243	153664.4781
671	0.1329022921	153597.0621
672	0.1328644832	153552.8953
673	0.1328456571	153539.8624
674	0.132832818	153529.9198
675	0.1328092405	153513.4509
676	0.1327577646	153467.9695
677	0.1327141204	153427.2397
678	0.1326691695	153364.0681
679	0.1326452316	153341.6313
680	0.1326144447	153304.0937
681	0.1326001751	153289.6679
682	0.1325731124	153269.5348
683	0.1325565142	153250.3893
684	0.132519008	153210.3508
685	0.1324914283	153184.6452
686	0.1324555936	153163.8915
687	0.1324390747	153149.0874
688	0.1324129588	153133.2114
689	0.1323714105	153085.2346
690	0.1323532163	153047.4412
691	0.1323208937	153016.5365
692	0.1322912499	152993.9836
693	0.1322271845	152896.0875
694	0.1322092822	152882.9602
695	0.132187937	152864.6537
696	0.1321605954	152844.6011
697	0.1321190273	152808.691
698	0.1320927963	152779.4412
699	0.1320540542	152752.4229
700	0.1320177879	152690.5512
701	0.1319682829	152647.6236
702	0.1319519439	152633.0014
703	0.131941	152623.5073
704	0.1318954549	152568.8133
705	0.1318699885	152554.1811
706	0.1318523412	152525.7354
707	0.1317962293	152472.0184
708	0.131764847	152416.7198
709	0.131756713	152408.0881
710	0.1317140742	152363.368
711	0.1316822771	152320.9781
712	0.1316453339	152293.5162
713	0.1315783832	152225.4778
714	0.1315450999	152192.1881
715	0.1315295868	152177.277
716	0.131508607	152151.8115
717	0.1314761006	152109.5836
718	0.1314306006	152055.9763
719	0.1313828027	152017.1505
