iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.6912882265	0.6100672323	0.4029438822
5	0.683435369	0.631344505	0.4115840281
10	0.6763047886	0.6252876143	0.4147493524
15	0.6699638401	0.628096806	0.4193349754
20	0.6646210742	0.6283850684	0.4204668419
25	0.6601265362	0.6331753109	0.4220491678
30	0.655810946	0.6401750433	0.4285058878
35	0.6525972039	0.6396079658	0.4268979157
40	0.6492011324	0.6402625947	0.4283531928
45	0.6465666976	0.6450904932	0.4322757779
50	0.6433819486	0.6506370885	0.4356915619
55	0.6407083205	0.6486470938	0.4358190709
60	0.638366921	0.6516061042	0.4377094121
65	0.6360273508	0.6510091672	0.4384862877
70	0.6341103702	0.6542181896	0.4414469651
75	0.631918371	0.6560855666	0.4432515337
80	0.6299419074	0.6576873244	0.4439688121
85	0.6281875208	0.6597740473	0.4455642083
90	0.626169203	0.6613648613	0.4471954761
95	0.6243464083	0.6644218493	0.4496336996
100	0.6227831654	0.6655622684	0.451385699
105	0.621552761	0.665867983	0.4519392917
110	0.6200626384	0.667602722	0.4535418583
115	0.6187091103	0.668542583	0.4543225015
120	0.6172837925	0.6677501632	0.4535008427
125	0.615965799	0.6739933588	0.458390594
130	0.6145465792	0.6752710119	0.4597982268
135	0.6131566851	0.6751662427	0.4599143207
140	0.6118122485	0.6775425	0.461797066
145	0.6106302398	0.6787793352	0.4631385745
150	0.6095213513	0.679553803	0.4645596809
155	0.608153798	0.6811263198	0.4662162162
160	0.6068324783	0.6801992366	0.465437788
165	0.6054585498	0.683009322	0.4684518313
170	0.6042463838	0.6841682182	0.4696643055
175	0.6029204629	0.6848363476	0.4702802587
180	0.6020751731	0.6861321811	0.4714395689
185	0.6011786049	0.6867989464	0.4720554273
190	0.600192452	0.6893047655	0.4742268041
195	0.5994322012	0.6901863021	0.4755589823
200	0.5985112411	0.6910866829	0.4766167618
205	0.5976372354	0.6912791946	0.4763518718
210	0.596700975	0.6919991748	0.4767620806
215	0.59592304	0.6925103509	0.4777178103
220	0.5950581813	0.6933934298	0.4790604234
225	0.594352147	0.6935279237	0.4789993823
230	0.5935024223	0.6937017036	0.4790123457
235	0.5923658158	0.6940801748	0.4800371402
240	0.5914691922	0.6962265101	0.4821926293
245	0.5905836557	0.6969676187	0.4829615861
250	0.589740916	0.6974706656	0.4832817337
255	0.5887170111	0.6989111819	0.4847452377
260	0.5881215718	0.6991492908	0.4851960936
265	0.5871407962	0.6997698901	0.4857408555
270	0.5865489603	0.7004974005	0.48680534
275	0.5857746841	0.7017481401	0.487600744
280	0.5851474246	0.7018675323	0.4878275702
285	0.5844665028	0.7026854931	0.4887509697
290	0.5837974999	0.7041516481	0.4905953676
295	0.5830853122	0.7050893856	0.4917522565
300	0.582435989	0.7041324912	0.4911952626
305	0.581887615	0.7039531877	0.4914910226
310	0.5812132902	0.7046526829	0.4921923798
315	0.5804488817	0.7041533227	0.491875
320	0.57970504	0.704433703	0.4924135774
325	0.5790501178	0.7048529613	0.4925769652
330	0.57842308	0.7049422025	0.4924277908
335	0.5776902146	0.704883897	0.4929577465
340	0.577018717	0.7058731246	0.4938967136
345	0.5763713341	0.7070622611	0.4952231793
350	0.5758170285	0.7071828551	0.4954559699
355	0.5751868308	0.7084993528	0.4967094955
360	0.5746784262	0.7094793042	0.4979604644
365	0.5742057225	0.7103901713	0.498433584
370	0.573441314	0.7105111379	0.4986679204
375	0.5730135135	0.7110007439	0.499294339
380	0.5727158216	0.7113692611	0.4996863237
385	0.5722519877	0.7105973797	0.4985126037
390	0.5715626397	0.7118233039	0.4999216424
395	0.5711361697	0.712478732	0.5005485034
400	0.5705279802	0.7121106862	0.5001566907
405	0.5699917467	0.7133801941	0.5013316622
410	0.5693043944	0.7136632937	0.5018820577
415	0.5688436094	0.7143177507	0.5025094103
420	0.568413647	0.7151338337	0.5034526051
425	0.5679829638	0.7149312689	0.5030578642
430	0.5673523781	0.7152527471	0.5040088036
435	0.5668922584	0.7156204579	0.5044025157
440	0.5663427202	0.7159858609	0.5051173044
445	0.5659481814	0.7168026529	0.5060658579
450	0.5654801898	0.7170874076	0.5066246057
455	0.5650312682	0.7181904577	0.5078112672
460	0.5645764149	0.7183942385	0.5082122552
465	0.564106483	0.7191701684	0.5090851635
470	0.5636604995	0.7204760756	0.5103491863
475	0.5632261576	0.7204760756	0.5103491863
480	0.562832284	0.7216997719	0.5117823818
485	0.5622956625	0.7210066574	0.5110689437
490	0.561826673	0.7210875046	0.5109004739
495	0.5613502551	0.7221060176	0.5119292147
500	0.5609112011	0.7208840176	0.5108266161
505	0.5605322399	0.7208848275	0.5111568286
