iter	MAPE	RMSE
0	0.4564416323	10942.6831
1	0.4284495867	10325.67579
2	0.402871293	9765.24186
3	0.379739318	9252.102814
4	0.3610242405	8820.270371
5	0.3411118182	8395.995218
6	0.3234327708	8021.371286
7	0.3076183926	7685.642318
8	0.2921955167	7337.732111
9	0.2768289431	7004.799849
10	0.2618473693	6722.535441
11	0.2503722946	6473.186934
12	0.2395256463	6234.409298
13	0.2286640301	5999.826858
14	0.2188077186	5791.30899
15	0.2095915403	5605.216668
16	0.2013645364	5421.824645
17	0.1947424314	5265.351706
18	0.1888506389	5111.308413
19	0.182089835	4979.474794
20	0.1758696322	4857.818508
21	0.1704352793	4755.741078
22	0.1652213908	4653.50645
23	0.160810685	4573.475149
24	0.1578458161	4489.447153
25	0.1549508255	4417.058423
26	0.1512916607	4349.694591
27	0.1474594928	4288.345438
28	0.1444765039	4225.926244
29	0.1411933817	4169.460841
30	0.1390437215	4125.507259
31	0.1365068653	4074.798376
32	0.1337325022	4018.690199
33	0.1313970579	3961.414673
34	0.1291807953	3919.290708
35	0.127126132	3876.645849
36	0.1247790098	3834.684092
37	0.1228551887	3792.754181
38	0.1210338911	3755.920603
39	0.1194288857	3730.757185
40	0.1180635321	3690.966602
41	0.1163797605	3666.761928
42	0.1148700697	3632.010825
43	0.1134896959	3608.599775
44	0.1120801709	3567.409389
45	0.1106848533	3531.221281
46	0.1100791297	3507.39285
47	0.1095115388	3489.554332
48	0.1080594464	3463.742132
49	0.1070168054	3445.023312
50	0.1061223858	3420.931157
51	0.1051895687	3403.487037
52	0.1043198871	3391.926806
53	0.1036516103	3372.938986
54	0.1030836947	3362.971961
55	0.1024818	3349.340205
56	0.1016384203	3326.920166
57	0.1006744917	3315.24332
58	0.09998267691	3302.80456
59	0.09937064091	3293.999063
60	0.09897551499	3281.309678
61	0.09837048174	3268.26923
62	0.09794458908	3261.190471
63	0.09762619473	3254.033326
64	0.09718452472	3238.191198
65	0.09695253539	3231.034861
66	0.09637978531	3214.067047
67	0.09580679106	3205.31374
68	0.09548861544	3198.965342
69	0.09521589146	3192.330149
70	0.0951139245	3187.284632
71	0.09459169004	3179.301416
72	0.09427236339	3174.068076
73	0.09403466695	3168.944729
74	0.09351200641	3160.70602
75	0.0931907499	3151.027781
76	0.09304398329	3145.932147
77	0.09283803686	3141.88835
78	0.09255939055	3139.474398
79	0.09226023911	3131.558587
80	0.09190284413	3127.224349
81	0.09182405041	3124.76372
82	0.09131844232	3113.173819
83	0.09104414592	3104.295532
84	0.09095771243	3102.089294
85	0.09075036862	3098.470298
86	0.09053198536	3092.67482
87	0.09039284751	3088.47401
88	0.0901879937	3081.104317
89	0.09000033283	3078.647294
90	0.08964391286	3070.58951
91	0.0894791791	3067.558399
92	0.08917281537	3061.287897
93	0.08913583697	3060.005143
94	0.08891782788	3053.43705
95	0.08875892324	3051.528417
96	0.08860901478	3049.332443
97	0.08823960464	3035.129964
98	0.08803418557	3031.145639
99	0.08775976518	3023.423017
100	0.08752901926	3016.394759
101	0.08734410018	3010.206674
102	0.08711073997	3000.981341
103	0.08699324437	2998.418095
104	0.08691182493	2996.338049
105	0.08687856528	2994.046413
106	0.08655124088	2984.517835
107	0.08631623353	2979.131248
108	0.0861687414	2973.586879
109	0.08601297873	2969.862594
110	0.08589060388	2966.780515
111	0.08573123736	2965.161249
112	0.08548897542	2960.350495
113	0.08544215123	2958.617503
114	0.08533400971	2953.130566
