iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.6806024616	0.6214207578	0.3846255799
1	0.6712442081	0.6112336468	0.3923666329
2	0.6616086882	0.6090512611	0.3961309524
3	0.6565826156	0.6036803367	0.396042618
4	0.6506796985	0.6183964335	0.4074466475
5	0.6451556252	0.6230340366	0.4139093137
6	0.6409583759	0.6301587182	0.4180191112
7	0.6366097083	0.6355483315	0.4240573958
8	0.633400301	0.6437922235	0.4287869644
9	0.6284829247	0.6565251032	0.4403808372
10	0.6258614538	0.660521423	0.4426746807
11	0.6240019448	0.6629296203	0.4457522257
12	0.620877366	0.6639774163	0.4464204974
13	0.618901689	0.6669328887	0.4489980413
14	0.6162203836	0.6700618117	0.4516031913
15	0.6138942026	0.6691722917	0.4527098831
16	0.6118440511	0.673388063	0.456379912
17	0.6085518307	0.6743474373	0.4581175754
18	0.6069884211	0.6759584924	0.459826193
19	0.6040397672	0.6800895746	0.4636973764
20	0.6012461496	0.683161842	0.4671867829
21	0.5995761452	0.6794512496	0.4646805897
22	0.5973976576	0.6818814349	0.4663704612
23	0.5964262901	0.6816637487	0.4662783568
24	0.5953393568	0.6848491057	0.4684491979
25	0.5932798198	0.6853691253	0.4703350753
26	0.5910512514	0.6859549487	0.4714219689
27	0.5896259731	0.6871902477	0.4727833462
28	0.5880298019	0.6874836071	0.4736435307
29	0.5864380211	0.6866984309	0.4728059333
30	0.5855717742	0.69044313	0.4763523957
31	0.5838988843	0.6884462873	0.4763981929
32	0.5823231819	0.689528667	0.4774816893
33	0.5812457651	0.692448564	0.4794903667
34	0.5795876234	0.694602216	0.4816542289
35	0.5768613953	0.6988726302	0.4856210166
36	0.5758497478	0.6980385372	0.4849898896
37	0.5735173833	0.7016128832	0.4889304646
38	0.5710666152	0.7048403756	0.4915940224
39	0.5702217038	0.7044219133	0.4914303521
40	0.5687183195	0.7075896215	0.4943155272
41	0.5666187077	0.7113895887	0.4984394507
42	0.5643905059	0.7129761555	0.5005474738
43	0.5634151211	0.7126807913	0.5009410289
44	0.5614233834	0.7146762005	0.5038576602
45	0.5596856349	0.7169718109	0.5050980392
46	0.5582493832	0.7185198473	0.5068299576
47	0.5573560818	0.7207170344	0.5088683095
48	0.556754715	0.721530102	0.50981624
49	0.554475312	0.7262367567	0.514870181
50	0.553229026	0.7267653869	0.5155905512
51	0.5520000753	0.7291985946	0.518460082
52	0.5489720175	0.7292576417	0.5195628069
53	0.5462566506	0.7321256972	0.5223313272
54	0.5447505464	0.7310200681	0.5224307986
55	0.5439681368	0.7320248105	0.523120928
56	0.5408072262	0.7393569732	0.5316091954
57	0.5385980322	0.7420102463	0.5343340786
58	0.5364231584	0.7433491183	0.5360626899
59	0.5332009506	0.7466249583	0.5400898012
60	0.5306940097	0.7462866935	0.5410892684
61	0.5293323935	0.748082847	0.5427605089
62	0.5268460981	0.7515130783	0.5461278377
63	0.5236712277	0.7527864693	0.5480955455
64	0.5214972345	0.7565233289	0.5524826136
