iter	F1	Logloss
0	0.6100672323	0.6801977339
1	0.6171551417	0.6704954724
2	0.6176736601	0.6632501393
3	0.6196185704	0.6559026928
4	0.6302670359	0.650252201
5	0.631523482	0.6451032952
6	0.6409303675	0.640178573
7	0.6504196586	0.6368313962
8	0.651552266	0.6334633199
9	0.6568142332	0.6306948406
10	0.6591678658	0.6281787065
11	0.6577209011	0.6255887315
12	0.6569276977	0.6231164473
13	0.6617020572	0.6206364575
14	0.6608690532	0.6187237455
15	0.6631831792	0.6166009305
16	0.6701885464	0.6139760308
17	0.6686513149	0.612396656
18	0.6731658729	0.6100843605
19	0.6716364482	0.6086242288
20	0.6757175636	0.6060074781
21	0.6772032743	0.6041905042
22	0.6773987558	0.6026446129
23	0.6769587503	0.6009070234
24	0.6796202681	0.5997121535
25	0.6789234966	0.5988365956
26	0.6788203766	0.5977549263
27	0.6829865018	0.5964042255
28	0.682901752	0.5953553189
29	0.683493618	0.5939675313
30	0.684871163	0.59334005
31	0.6868567962	0.5926714905
32	0.6861895586	0.5915644314
33	0.6878374068	0.5909976526
34	0.6892075187	0.5896274937
35	0.6906332103	0.5880097572
36	0.6904974522	0.5874265693
37	0.6954808939	0.586319233
38	0.6959439646	0.5859149929
39	0.6964458806	0.5852712688
40	0.6991333612	0.584320595
41	0.6988040934	0.5838318148
42	0.6990937934	0.5828826378
43	0.6999256602	0.5814705692
44	0.7003859866	0.5811057996
45	0.7003224834	0.5804753802
46	0.7019292278	0.5797682926
47	0.702557796	0.5793450933
48	0.70356303	0.5782112586
49	0.7098964747	0.5765245041
50	0.7099485161	0.5760177072
51	0.7105559341	0.5750811141
52	0.7098623493	0.5737112879
53	0.7099425668	0.5735782412
54	0.7105960687	0.5725245116
55	0.7132459834	0.5710897697
56	0.7127508586	0.5701245716
57	0.7126215239	0.5691773902
58	0.7131576016	0.5684885411
59	0.7118875339	0.5678474225
60	0.7119277939	0.5670498078
61	0.7126301146	0.5667876504
62	0.7150263808	0.5659999588
63	0.7151906732	0.5658135826
64	0.7158846374	0.5657205608
65	0.7159205102	0.5641752792
66	0.7177527329	0.5634467933
67	0.7178752094	0.5631289781
68	0.7187673777	0.5624666275
69	0.7198624092	0.5613245327
70	0.7219685046	0.5601945231
71	0.7222904624	0.5592193465
72	0.7222531243	0.5581986568
73	0.7219293099	0.5577881525
74	0.7243597236	0.5565170025
75	0.725132112	0.5552002286
76	0.7247646435	0.5548452712
77	0.7256189268	0.5540583556
78	0.7260648921	0.5533726109
79	0.7256673114	0.5526650799
80	0.7251423935	0.5519752329
81	0.7261998684	0.5513847829
82	0.7279359583	0.5506633374
83	0.7287874865	0.5503900928
84	0.7288696711	0.5498819654
85	0.7312931285	0.5486278343
86	0.7310119157	0.5481961534
87	0.7304491159	0.5477735639
88	0.7304146216	0.5473629486
89	0.73045582	0.5472945405
90	0.730586233	0.5468222248
91	0.7316789863	0.5464596727
92	0.7307924936	0.5462097113
93	0.7312394736	0.5451217776
94	0.7317352797	0.5446573339
95	0.7337469494	0.5437302204
96	0.7327873188	0.5429527844
97	0.7334001331	0.5421973011
98	0.7357510026	0.5413204682
99	0.7357410232	0.5412037752
100	0.7358326988	0.5397193625
101	0.7362808734	0.5384181107
102	0.7360410461	0.538044693
103	0.7363642493	0.537872952
104	0.7374277233	0.5373623854
105	0.7383313798	0.5369003809
106	0.7394231989	0.5364315023
107	0.7395903845	0.5360644598
108	0.7396321927	0.535855133
109	0.7396445952	0.5354185182
110	0.7406816796	0.5353429588
111	0.7409196977	0.5347435836
112	0.7425827923	0.5337271071
113	0.7436425641	0.5327768213
114	0.7435043517	0.5321668578
115	0.7438822906	0.5315733588
116	0.745207932	0.5309331272
117	0.7454864998	0.5308615592
118	0.7455706499	0.530365018
119	0.7475172552	0.529811821
120	0.7474080482	0.5297325474
121	0.7468521949	0.5296276068
122	0.7484583315	0.5290186966
123	0.7478195836	0.5285484321
124	0.7491388124	0.5279035438
125	0.7492174474	0.5273336606
126	0.7485783025	0.5271264959
127	0.749048622	0.5263625863
128	0.7480652712	0.5256317721
129	0.7491991984	0.5253601906
