iter	F1	Logloss
0	0.6100672323	0.6728319936
1	0.6285127202	0.6594162888
2	0.6193255195	0.6501289666
3	0.6276486812	0.6417020127
4	0.6489858731	0.635140484
5	0.6586418734	0.6288279188
6	0.6575807634	0.624750094
7	0.6623292266	0.6205886716
8	0.6660834661	0.6163254131
9	0.668600124	0.6127881458
10	0.6736955838	0.6093864198
11	0.6727798046	0.6056547381
12	0.6785354794	0.6037979057
13	0.6786138201	0.6017632342
14	0.6839065098	0.5981327788
15	0.6838954971	0.5959368991
16	0.687836332	0.5945170694
17	0.6880919605	0.5924573408
18	0.6906364908	0.5898832205
19	0.6925328993	0.5876042975
20	0.6927298466	0.5865019505
21	0.6942618717	0.5854957851
22	0.6936985856	0.5837253775
23	0.6937309045	0.5825115485
24	0.6959451312	0.5804050317
25	0.6976278665	0.5796775991
26	0.6991111702	0.5780039275
27	0.6999197226	0.5763046999
28	0.6987413342	0.5753201546
29	0.7002784374	0.5733647013
30	0.7013281732	0.5716668596
31	0.7037236121	0.5710024024
32	0.7051825953	0.5693694763
33	0.7055434921	0.5688188295
34	0.7083121392	0.5669204753
35	0.7114600993	0.5652032864
36	0.7106614203	0.5639924509
37	0.7152853259	0.5621052395
38	0.7129027062	0.5607513788
39	0.7145888684	0.5587662672
40	0.7154504999	0.5572547462
41	0.7179838259	0.5552022243
42	0.7208007656	0.5539697687
43	0.7208824009	0.5536710235
44	0.7228370946	0.5524897909
45	0.723285172	0.551935208
46	0.7231214369	0.5516355759
47	0.723489945	0.5508811459
48	0.725477239	0.5484890223
49	0.7261710819	0.5481575698
50	0.7264133463	0.5476114133
51	0.7259697505	0.546670219
52	0.72483458	0.546186539
53	0.7285687443	0.5431742517
54	0.7292988599	0.5428072092
55	0.7285330931	0.5414227478
56	0.7324484142	0.5398856708
57	0.7312879948	0.5387270007
58	0.7314119751	0.538514126
59	0.734013229	0.5373505221
60	0.7340457694	0.5367449935
61	0.7357510026	0.5343501535
62	0.7350836242	0.5332631623
63	0.7366450901	0.5326108456
