iter	Logloss
0	0.6886903079
1	0.6846364779
2	0.6803507535
3	0.676585527
4	0.6718888463
5	0.6679761921
6	0.6640238129
7	0.6599643769
8	0.6559391899
9	0.6520274342
10	0.6478802038
11	0.644920607
12	0.6430027877
13	0.6392626891
14	0.6354814842
15	0.6333674595
16	0.6301061371
17	0.6268126531
18	0.6235867194
19	0.620485905
20	0.6178017073
21	0.6155092968
22	0.6127792278
23	0.610199725
24	0.6078789297
25	0.6055844841
26	0.602799097
27	0.6002320906
28	0.5975702181
29	0.5949720464
30	0.5921246959
31	0.5903932331
32	0.587927213
33	0.5853939175
34	0.5834161263
35	0.5813639014
36	0.5791434678
37	0.5770389614
38	0.5749255609
39	0.5728554884
40	0.5707970759
41	0.5693169279
42	0.5676134113
43	0.5665694398
44	0.5645152179
45	0.5629709272
46	0.5620486877
47	0.5608334023
48	0.559562639
49	0.5581049532
50	0.5567246309
51	0.5555213938
52	0.5543189872
53	0.5530463415
54	0.551551202
55	0.550747535
56	0.5493738964
57	0.5483447127
58	0.5466180494
59	0.5449913663
60	0.5440701049
61	0.5427475684
62	0.5418250057
63	0.5408488516
64	0.5398141964
65	0.5385949147
66	0.5377358665
67	0.5366525491
68	0.535451409
69	0.5346650706
70	0.5333469128
71	0.5322779329
72	0.5309649391
73	0.5298215687
74	0.5288301692
75	0.5277704899
76	0.5267254061
77	0.5258233853
78	0.5252233632
79	0.5246024084
80	0.5237936422
81	0.5226714657
82	0.5216207328
83	0.5207654871
84	0.5197877882
85	0.5191086473
86	0.518322565
87	0.5172480019
88	0.5164449036
89	0.5155982846
90	0.5144941567
91	0.5135953574
92	0.5131215587
93	0.5120623391
94	0.5114806175
95	0.5110632089
96	0.5103709965
97	0.5098698548
98	0.5090306473
99	0.5084965141
100	0.5078003767
101	0.507314525
102	0.5063566019
103	0.5059324567
104	0.5052334543
105	0.5045205848
106	0.5037225191
107	0.5028969648
108	0.5020843162
109	0.5013245677
110	0.5005343832
111	0.5000846222
112	0.4996197315
113	0.498791512
114	0.4982666725
115	0.4976302929
116	0.4971666858
117	0.4970903127
118	0.4965840394
119	0.4962012224
120	0.4957402957
121	0.4952653259
122	0.4947223829
123	0.4942953473
124	0.4936840687
125	0.4930777027
126	0.4924107874
127	0.4920415012
128	0.4914489916
129	0.4907793425
130	0.4902240679
131	0.4901221499
132	0.4898027756
133	0.4894141706
134	0.4889628605
135	0.4886108462
136	0.487972442
137	0.4873154257
138	0.4868779641
139	0.4864468982
140	0.4859864988
141	0.4856983772
142	0.4853219726
143	0.4849492676
144	0.4844125435
145	0.4839935269
146	0.4835084853
147	0.4830874939
148	0.4828660805
149	0.4824856907
150	0.4820362702
151	0.4815643327
152	0.4811628076
153	0.4807712151
154	0.4803376494
155	0.4801108818
156	0.4797035426
157	0.4794238035
158	0.4790481753
159	0.4788211135
160	0.4784007234
161	0.4780252324
162	0.4777047086
163	0.4773240157
164	0.4770793876
165	0.476708322
166	0.4763394055
167	0.4760292753
168	0.4756214766
169	0.4752383298
170	0.4748998499
171	0.4743223161
172	0.4738528952
173	0.4734975306
174	0.4730485385
175	0.472725117
176	0.4725923741
177	0.4722402593
178	0.4719208605
179	0.4714759812
180	0.4711925
181	0.4709221311
182	0.4706121164
183	0.4703216011
184	0.4699763533
185	0.4698471263
186	0.4694360123
187	0.4690992099
188	0.4687985439
189	0.4685230899
190	0.4681406086
191	0.4678367528
192	0.4674991765
193	0.467238453
194	0.467056211
195	0.4668784296
196	0.466676404
197	0.4663920604
198	0.4660835704
199	0.4656639112
200	0.4653547194
201	0.4652191936
202	0.4650958644
203	0.4648585316
204	0.4645221952
205	0.4643608139
206	0.4640744558
207	0.4637556089
208	0.4634142574
209	0.4630619904
210	0.4629260876
211	0.4627709467
212	0.4626958331
213	0.4626728264
214	0.4624536301
215	0.462294013
216	0.4620983761
217	0.4618502686
218	0.4616648014
219	0.4614442882
220	0.4612539713
221	0.4610835754
222	0.4609529767
223	0.4607571647
224	0.4604356828
225	0.4601586948
226	0.4598424287
227	0.4595794844
228	0.4593888798
