iter	F1	Logloss
0	0.6100672323	0.6903739188
1	0.61720037	0.6877961397
2	0.6340192547	0.6855602905
3	0.6357460014	0.6833273241
4	0.6354219487	0.6812044537
5	0.6295802898	0.6793375873
6	0.624158288	0.6772524135
7	0.628963335	0.6751579264
8	0.6317669183	0.6732199909
9	0.6324587149	0.6715257525
10	0.6303383891	0.6700356299
11	0.6303514873	0.6684956148
12	0.6309971275	0.6667488784
13	0.6342052257	0.6650981574
14	0.6309180983	0.6634445537
15	0.6324170352	0.661802647
16	0.6317493616	0.6604109789
17	0.6326587303	0.6591444301
18	0.6313790407	0.6577509881
19	0.633642224	0.6565402635
20	0.6339169194	0.6553864163
21	0.6356718254	0.6542809648
22	0.6355563909	0.6529760543
23	0.6365739022	0.6519609082
24	0.638100443	0.6508385488
25	0.6381599489	0.6498229038
26	0.6380934439	0.6488978969
27	0.6397730305	0.6479343064
28	0.6413421495	0.6469895643
29	0.6420768421	0.6464139711
30	0.6411553069	0.6453724375
31	0.6440479366	0.6445067472
32	0.645697502	0.6435678813
33	0.6501256052	0.6427103401
34	0.6504704449	0.6420120669
35	0.6510957597	0.6415307152
36	0.6519667626	0.6408543946
37	0.6519442688	0.6401765219
38	0.6537312764	0.6393335604
39	0.6546499708	0.6386953245
40	0.6519718034	0.6380484405
41	0.6553292059	0.6374961306
42	0.6563209735	0.6368553446
43	0.6573480583	0.6363850801
44	0.6587127918	0.6356514386
45	0.6579155218	0.6348623056
46	0.6591297044	0.6340839272
47	0.6577262585	0.6335117156
48	0.6578019508	0.632910123
49	0.6582957302	0.6322246001
50	0.65852294	0.6316288282
51	0.6578776605	0.6309196895
52	0.6587878774	0.6303378875
53	0.6601160874	0.6297290327
54	0.6597370658	0.6292235109
55	0.6594333496	0.6285956969
56	0.6603060749	0.6279322376
57	0.6600031385	0.6273517106
58	0.660116661	0.6268892072
59	0.6630688835	0.6260936436
60	0.6621218379	0.6255631754
61	0.661971576	0.6249583675
62	0.6624262589	0.6245554024
63	0.6634090577	0.6239717156
64	0.6634852768	0.6235118731
65	0.6638634918	0.6229029629
66	0.6647304536	0.6222630084
67	0.6657577439	0.6219441399
68	0.6656473917	0.6216050927
69	0.6663556668	0.6209214546
70	0.6668096564	0.6204101119
71	0.6670775995	0.6199204447
72	0.6672636495	0.6195463064
73	0.6693416247	0.6190237102
74	0.670541708	0.618541527
75	0.6702109462	0.6178386525
76	0.6702878456	0.6174718872
77	0.671179389	0.6171149341
78	0.671987873	0.6167129115
79	0.671632691	0.6161742942
80	0.6725687534	0.6158579204
81	0.6731374066	0.615499914
82	0.6737448492	0.6150436193
83	0.673368775	0.6147035743
84	0.672722824	0.6143639726
85	0.6731083095	0.6140962162
86	0.6737062595	0.6137752966
87	0.6734459332	0.6133991072
88	0.6748725721	0.6130328962
89	0.6754416732	0.6126133558
90	0.6743628865	0.6123301881
91	0.6763984208	0.6117832555
92	0.6766192393	0.611391433
93	0.6761502279	0.6110317636
94	0.676708698	0.6106836802
95	0.6776161129	0.6100677296
96	0.6787693187	0.609756733
97	0.6779920725	0.6093970636
98	0.679041613	0.6090561315
99	0.6792362426	0.608903017
100	0.6793141257	0.6087212974
101	0.6790551364	0.608291723
102	0.6796758861	0.6079354351
103	0.6813719615	0.6076533208
104	0.6806994515	0.607447431
105	0.6803774541	0.6070899236
106	0.6801967381	0.6067980525
107	0.6811768831	0.606402405
108	0.6811918554	0.6060453964
109	0.6825361747	0.6056689298
110	0.6814022022	0.6051942304
111	0.6824347655	0.6048269662
112	0.6832631506	0.6045577684
113	0.682770752	0.6042997688
114	0.6828098639	0.6039932071
115	0.682904252	0.6037973513
116	0.6827868199	0.6035578119
117	0.6837164409	0.6029516735
118	0.6838171839	0.6026986076
119	0.6828651035	0.6024659977
