id,Price
30130,1172303.044128292
18311,1399995.8358235876
18934,1350375.7432326472
1824,827117.8771332168
31339,933177.9884825645
25768,644280.619612881
12910,677939.583469983
9172,855453.3828678842
27292,745607.9356250266
966,655265.6480839389
33045,684458.8718890565
16354,869796.3112079672
18630,920564.6616997644
23188,687872.285201349
3893,890366.9009089919
24887,1312065.4949308278
8058,929941.8775292045
18868,953034.1085098028
19537,980410.0670515377
697,588468.9700150993
17659,1349155.6683156728
22492,1707871.015094965
18475,3102469.125791521
20774,1457728.2718849145
28024,1286861.1526271715
10445,917419.0237688773
33712,1353448.0114491754
562,1625670.5534917964
9368,1086611.5787724268
32959,973509.3166343685
33394,994763.8056266217
13118,618024.8272846689
12717,537676.0572727306
34723,633538.5103964567
14292,635159.3292754018
29100,1257723.713845887
32062,1111159.1351901891
12896,794681.8043919314
1447,618452.0427999476
22926,923331.1296112484
22335,2131317.0784635623
19782,1953902.2800361488
7356,662414.8521289151
3245,670085.3472861651
15532,924197.7784203535
30502,489024.43331022386
12568,393575.26797897345
3654,951666.2278823003
9825,405328.02676763444
6986,948937.4602184627
14000,534670.6129087175
34179,703955.0768159598
15904,777362.6630940953
4736,1308914.0499444422
12756,741711.9612785454
11180,509171.8575170424
12958,839443.9967921798
1874,1025811.7037348403
30902,601273.3719084013
1698,1830790.442831674
7949,1857737.8641828478
14817,1760383.274537574
14406,1028451.8432482544
15872,2473510.553311632
26557,696377.7859366
27635,2456178.408601515
21893,597912.2133251979
10114,1171504.3560841505
6153,1348726.5670047018
3484,1854974.5152028012
27093,656956.0857381017
20113,1597654.5201054956
10530,486593.5512919178
31794,506909.98535237805
22075,401327.15277725586
11206,795127.1127801746
5400,792743.2577163414
6054,1540262.8560298674
387,1327806.661875694
26873,1001112.0423788367
22834,933478.3792038811
15450,507368.9619471483
13067,712871.4248842739
16266,739903.5511925694
24419,1010194.1619352207
10506,1176854.5988638967
1070,680523.3199896954
23757,990250.320591283
13901,1107561.9828284099
4504,1270747.8851197897
20127,924311.2399304683
23801,614451.3086505883
25173,981781.6734430839
29420,1028404.2237840515
14993,931094.8319324965
10772,1154650.8557248467
2589,940614.9214760531
22900,1385060.066675913
27370,595685.3885639079
24293,925194.9244709534
32260,1486120.353036133
24074,843112.156294398
4997,529656.2612492419
6246,1056499.7356894284
14363,945751.7652062435
32418,978906.6332779117
26081,546549.0384571382
34186,631399.5106211944
8706,627194.0260220837
20073,531258.7418743626
25338,534669.3012863911
22061,531258.7418743626
1373,631399.5106211944
14460,627194.0260220837
10060,694702.0273526056
