iter	MAPE	MAE
0	0.9452327259	1005813.75
1	0.895660421	960598.3561
2	0.8465752353	920289.5081
3	0.8013209508	880400.9123
4	0.7581238533	842775.9563
5	0.7161386063	808282.9078
6	0.6760148545	775724.8515
7	0.639137598	743860.5551
8	0.6040715444	711446.1729
9	0.5715980768	684599.0137
10	0.5417045507	659384.7527
11	0.5131095059	633376.622
12	0.4876647561	609190.2542
13	0.4625121247	584710.218
14	0.4406423439	562432.07
15	0.4200183033	542689.7221
16	0.4017785877	524920.5855
17	0.3837112308	505816.4468
18	0.3679338042	488921.9063
19	0.3529835023	472344.1527
20	0.3397954972	457163.6991
21	0.3274671261	442777.759
22	0.3161696273	428047.1805
23	0.3055763636	414844.2387
24	0.2958525715	402149.0452
25	0.2856883815	389190.1648
26	0.2770382977	377871.4111
27	0.2690057226	366549.9485
28	0.261813058	356572.0006
29	0.2549267213	346729.7962
30	0.2487164247	337920.944
31	0.2433813536	330108.3036
32	0.2381259346	322184.968
33	0.2336725601	315348.3374
34	0.2289901501	308208.0878
35	0.2254049632	302333.2109
36	0.2214499256	295541.7225
37	0.2175376275	288744.441
38	0.2143477738	283047.5517
39	0.2115350734	277406.886
40	0.209207944	273157.8793
41	0.2069385921	269011.2401
42	0.2048787166	264945.0428
43	0.2027495311	260525.2588
44	0.201176981	257264.5179
45	0.1994352163	253812.5178
46	0.1981553402	251059.6842
47	0.1967966705	248130.1476
48	0.1956682979	245648.2394
49	0.1944196045	242783.2982
50	0.1930999155	240083.1306
51	0.1922586687	237937.4683
52	0.1913022425	235739.3798
53	0.1900198556	233083.4315
54	0.1888934114	230822.176
55	0.1883509297	229238.5662
56	0.1876263226	227680.0972
57	0.1867360344	225743.3605
58	0.1860131757	224119.0624
59	0.185273657	222588.9289
60	0.1846026575	221289.2179
61	0.1842209281	220222.8937
62	0.1837174515	218962.0599
63	0.1832115806	217742.2595
64	0.1826638346	216479.1803
65	0.182346251	215546.2744
66	0.1819478925	214558.706
67	0.1814631679	213482.8683
68	0.1809952009	212306.5695
69	0.1808759682	211688.6234
70	0.1804475921	210975.5699
71	0.1801542795	210123.7005
72	0.1796684603	209081.4258
73	0.1791774062	208138.7925
74	0.1788565326	207465.2002
75	0.1785688803	206855.9566
76	0.1782901597	206226.143
77	0.1779769315	205721.4915
78	0.1777177058	205123.4265
79	0.1775195837	204621.4117
80	0.1770736931	203866.8952
81	0.1767008342	203098.9143
82	0.1764858211	202550.6353
83	0.1763645562	202293.7341
84	0.1760248719	201752.1072
85	0.1756846215	201269.5768
86	0.1753198268	200629.9838
87	0.1751502443	200342.2108
88	0.1749328899	199851.7904
89	0.1746977488	199534.2299
90	0.1744637779	199160.6317
91	0.1742199197	198810.4461
92	0.1740052934	198436.3498
93	0.173836596	198147.9071
94	0.1736644391	197893.7694
95	0.1734223805	197374.4802
96	0.1730587098	196930.1106
97	0.1727896814	196644.9257
98	0.1725259734	196156.5988
99	0.1723101008	195810.5777
100	0.1720195113	195339.0946
101	0.1716940291	194986.484
102	0.1715507571	194770.8478
103	0.1713804515	194539.9044
104	0.1712047295	194302.4322
105	0.1710613439	194134.3257
106	0.1708445337	193893.3119
107	0.1707162794	193645.3997
108	0.1706128553	193507.6428
109	0.1704184655	193258.4109
110	0.1701995815	192987.8416
111	0.1700693038	192803.4148
112	0.1699005828	192577.9858
113	0.1697103248	192378.5772
114	0.1695416733	192190.8789
115	0.1693953785	191980.9591
116	0.1692904153	191804.0741
117	0.1690627148	191558.6441
118	0.168892228	191363.0634
119	0.1687128266	191188.4445
120	0.1686566489	191133.532
121	0.1685242657	191018.2612
122	0.1683860698	190896.246
123	0.1681655103	190451.1171
124	0.1679899982	190263.8081
125	0.1678187188	190079.6877
126	0.1676087417	189824.1164
127	0.1674298893	189618.5331
128	0.1672451711	189398.7327
129	0.1671112291	189270.5013
130	0.167011896	189134.8242
131	0.1667540695	188902.2698
132	0.166623463	188735.3764
133	0.166445657	188535.3379
134	0.1663680598	188430.4226
135	0.1661977758	188186.934
136	0.1659812076	187999.8805
137	0.1658384492	187867.5685
138	0.1657052649	187596.2554
139	0.165536647	187412.5963
140	0.165466263	187321.8323
141	0.1653191167	187138.5207
142	0.1652077203	187018.3889
143	0.1651024791	186864.43
144	0.1650071053	186797.0506
145	0.164880227	186581.173
146	0.164722869	186407.5365
147	0.1645522078	186248.2591
148	0.164533734	186202.4904
149	0.1644552568	186102.8589
150	0.164228117	185889.6441
151	0.1640577273	185665.8258
152	0.1639431931	185522.173
153	0.1638377766	185446.8037
154	0.1636656751	185333.1753
155	0.163557575	185238.4006
156	0.1634496068	185138.0319
157	0.1633661164	185063.7221
158	0.1632305763	184790.4791
159	0.1630971647	184649.4613
160	0.1629767586	184546.8103
161	0.1628842447	184444.8403
162	0.1628230271	184406.5406
163	0.1626848761	184229.7778
164	0.1625725999	184127.877
165	0.1624184679	183887.3145
166	0.1622855429	183719.6765
167	0.1622215193	183654.9096
168	0.161958088	183310.7936
169	0.1617399088	183088.3703
170	0.1616578288	183026.8
171	0.1615564041	182849.6908
172	0.1614063029	182647.0055
173	0.1613019432	182537.2764
174	0.161194958	182383.1045
175	0.1609938719	182203.3253
176	0.160889282	182032.3985
177	0.1608117399	181961.1685
178	0.1607437947	181916.7581
179	0.160619427	181779.2844
180	0.160459142	181649.6881
181	0.1603628787	181498.0152
182	0.1602608507	181409.0752
183	0.1601355996	181262.5677
184	0.160077063	181209.7911
185	0.1599454623	181100.3195
186	0.1598381213	181010.4978
187	0.1597702975	180923.048
188	0.1596267533	180805.7566
189	0.1594992802	180694.9804
190	0.1594155286	180628.106
191	0.159313496	180519.8652
192	0.1592101236	180446.1453
193	0.1591540148	180389.1731
194	0.159067464	180317.8251
195	0.1589866097	180260.4676
196	0.1589423028	180225.0527
197	0.1587950764	180027.0525
198	0.1586578664	179938.4001
199	0.1585635617	179868.0766
200	0.1584145924	179696.4512
201	0.1583105797	179596.2715
202	0.1582421115	179503.9338
203	0.1580979074	179406.7906
204	0.1579902589	179310.9208
205	0.1578862712	179240.3167
206	0.157766514	179156.9505
207	0.1576533136	179088.2067
208	0.1575934561	179032.6923
209	0.1574779637	178914.9388
210	0.157284135	178762.5775
211	0.1572063851	178691.0013
212	0.1570740065	178547.6406
213	0.1570075004	178449.5427
214	0.1568997389	178316.5056
215	0.1568032289	178228.1826
216	0.1566887423	178124.7387
217	0.1565730423	178047.1963
218	0.1564126571	177866.5023
219	0.1562996021	177714.971
220	0.1561901988	177502.4688
221	0.1561316565	177453.2549
222	0.1560302026	177339.5987
223	0.1559416862	177232.3816
224	0.1558061201	177166.3626
225	0.1556458544	176997.6329
226	0.1555149566	176870.1676
227	0.1553967861	176759.4493
228	0.1553266598	176703.8773
229	0.1551991592	176547.9579
230	0.1550357046	176345.8926
231	0.1549134813	176194.2228
232	0.1548022196	176102.2597
233	0.1547121351	176017.7129
234	0.1545951713	175893.2904
235	0.1545404553	175827.8813
236	0.1544538137	175749.5372
237	0.1543649716	175642.6718
238	0.1543276283	175610.7111
239	0.1542158778	175526.1464
240	0.154100611	175415.5402
241	0.1540261631	175345.7707
242	0.1539684926	175287.718
243	0.1538472471	175135.0016
244	0.1537827891	175075.7186
245	0.1536820273	174929.9525
246	0.1535941392	174826.2292
247	0.1535113382	174698.8694
248	0.1534117004	174601.6534
249	0.1533571854	174551.0082
250	0.1532870287	174446.7728
251	0.1532089294	174328.3494
252	0.1531298819	174177.0287
253	0.1530244816	174024.3902
254	0.1529948898	173997.5097
255	0.1529555033	173942.8668
256	0.1528643227	173846.6902
257	0.1527884807	173757.3792
258	0.1527688089	173730.6966
259	0.1526858671	173663.0511
260	0.1526220527	173587.1296
261	0.1525363476	173513.1887
262	0.1524554545	173387.7406
263	0.1524190008	173363.7521
264	0.152345108	173240.683
265	0.1522708014	173150.2926
266	0.1521819351	173049.187
267	0.1521409918	172998.8813
268	0.1520483296	172900.9306
269	0.1519495471	172762.9387
270	0.1518856266	172670.6268
271	0.1517746516	172541.6932
272	0.1516922838	172377.2979
273	0.1516163082	172212.2552
274	0.1514732642	172073.9141
275	0.1513864128	171999.9894
276	0.151315788	171905.0685
277	0.1512292091	171814.4262
278	0.1511909924	171774.129
279	0.1511171357	171676.7728
280	0.1510596414	171610.9774
281	0.1510102053	171566.93
282	0.1508938833	171458.4888
283	0.150846746	171411.0936
284	0.150771854	171341.5933
285	0.1506177643	171216.184
286	0.1505952266	171186.9292
287	0.1504678903	171032.5133
288	0.1503747279	170928.0034
289	0.1502569655	170866.3894
290	0.1501603896	170787.906
291	0.1501249963	170758.9028
292	0.150046517	170675.5545
293	0.1499921336	170622.19
294	0.1499159217	170496.7276
295	0.1498270199	170413.5899
296	0.1497330678	170282.5133
297	0.1496329842	170177.2105
298	0.1495863939	170131.5851
299	0.1495028736	170048.2794
300	0.1493921957	169925.4445
301	0.1493248839	169842.6443
302	0.1492569685	169790.8064
303	0.1491909452	169750.4301
304	0.1491057633	169668.7406
305	0.1490417361	169611.6371
306	0.1490035352	169574.7406
307	0.1489106891	169441.3127
308	0.1488667094	169392.8474
309	0.1487657617	169273.0183
310	0.1487070355	169217.2506
311	0.1486430708	169173.6392
312	0.1486037487	169067.0829
313	0.1485624813	169028.5231
314	0.1485129124	168925.7349
315	0.1484335304	168845.8016
316	0.1483902319	168815.4486
317	0.1483127718	168736.5968
318	0.1482145081	168618.7809
319	0.1481104293	168514.8051
320	0.1480440306	168437.7261
321	0.14796476	168286.2341
322	0.1478823553	168157.1872
323	0.1478214245	168085.0514
324	0.1477516462	168033.5996
325	0.1476957136	167979.9647
326	0.1476426714	167922.0089
327	0.1476081949	167891.4685
328	0.1475479298	167838.7891
329	0.1474766472	167763.0652
330	0.1473927783	167680.1105
331	0.1473368182	167597.0637
332	0.1472865446	167556.5521
333	0.1472417278	167496.8559
334	0.1472009224	167425.7606
335	0.1471687493	167376.9248
336	0.1471203032	167307.894
337	0.1470535531	167244.9228
338	0.1469751719	167142.7646
339	0.1469362959	167098.7942
340	0.1468878438	167048.8694
341	0.146794051	166970.2704
342	0.1467381145	166903.4981
343	0.1465960407	166676.6364
344	0.1465387846	166640.5794
345	0.1464425075	166556.9348
346	0.1464102137	166522.2188
347	0.1463668824	166488.6335
348	0.1462066899	166349.6178
349	0.1461577012	166307.0934
350	0.1461141737	166273.2239
351	0.146071275	166181.8128
352	0.1460492467	166153.3499
353	0.1459682468	166043.0308
354	0.1458681835	165903.7261
355	0.1458216022	165867.3664
356	0.1457647735	165812.1609
357	0.145683663	165756.2161
358	0.1456081347	165683.5005
359	0.145554095	165635.5419
360	0.1455011776	165551.3051
361	0.1454553852	165485.606
362	0.1454113798	165440.3999
363	0.1453851808	165412.7517
364	0.14530635	165319.3516
365	0.1452423674	165264.7323
366	0.14517812	165169.021
367	0.1451583489	165149.7782
368	0.1451206104	165111.864
369	0.1450758906	165077.0432
370	0.1450244648	165020.1179
371	0.1449724051	164957.1344
372	0.1449108766	164904.2201
373	0.1448460916	164848.3092
374	0.1447576064	164753.3926
375	0.1447151045	164715.4027
376	0.1446971791	164690.8043
377	0.1446567322	164654.7508
378	0.1445968632	164581.62
379	0.1445173806	164517.8405
380	0.1444383134	164451.2265
381	0.14439729	164396.4982
382	0.1443364349	164340.8391
383	0.1442572732	164218.3641
384	0.1442046691	164166.6678
385	0.1441509264	164066.9319
386	0.1441040943	164024.5045
